lexeme,variants,msg,mpl,fsg,fpl
anti-émotionnel,anti-émotionnel,ɑ̃tiEmOsjOnɛl,ɑ̃tiEmOsjOnɛl,ɑ̃tiEmOsjOnɛl,ɑ̃tiEmOsjOnɛl
anti-fasciste,anti-fasciste:antifasciste,ɑ̃tifaʃist,ɑ̃tifaʃist,ɑ̃tifaʃist,ɑ̃tifaʃist
anti-féministe,anti-féministe,ɑ̃tifEminist,ɑ̃tifEminist,ɑ̃tifEminist,ɑ̃tifEminist
anti-fusionnel,anti-fusionnel,ɑ̃tifyzjOnɛl,ɑ̃tifyzjOnɛl,ɑ̃tifyzjOnɛl,ɑ̃tifyzjOnɛl
anti-g,anti-g,ɑ̃tiʒe,ɑ̃tiʒe,ɑ̃tiʒe,ɑ̃tiʒe
anti-gros,anti-gros,ɑ̃tigʁo,ɑ̃tigʁo,ɑ̃tigʁos,ɑ̃tigʁos
anti-hypertenseur,anti-hypertenseur,ɑ̃tiipɛʁtɑ̃sœʁ,ɑ̃tiipɛʁtɑ̃sœʁ,ɑ̃tiipɛʁtɑ̃sœʁ,ɑ̃tiipɛʁtɑ̃sœʁ
anti-immigré,anti-immigré,ɑ̃tiimigʁe,ɑ̃tiimigʁe,ɑ̃tiimigʁe,ɑ̃tiimigʁe
anti-impérialiste,anti-impérialiste,ɑ̃tiɛ̃pEʁjalist,ɑ̃tiɛ̃pEʁjalist,ɑ̃tiɛ̃pEʁjalist,ɑ̃tiɛ̃pEʁjalist
anti-infectieux,anti-infectieux,ɑ̃tiɛ̃fEksjø,ɑ̃tiɛ̃fEksjø,ɑ̃tiɛ̃fEksjøz,ɑ̃tiɛ̃fEksjøz
anti-inflammatoire,anti-inflammatoire,ɑ̃tiɛ̃flamatwaʁ,ɑ̃tiɛ̃flamatwaʁ,ɑ̃tiɛ̃flamatwaʁ,ɑ̃tiɛ̃flamatwaʁ
anti-insurrectionnel,anti-insurrectionnel,ɑ̃tiɛ̃syʁEksjOnɛl,ɑ̃tiɛ̃syʁEksjOnɛl,ɑ̃tiɛ̃syʁEksjOnɛl,ɑ̃tiɛ̃syʁEksjOnɛl
anti-jeune,anti-jeune,ɑ̃tiʒœn,ɑ̃tiʒœn,ɑ̃tiʒœn,ɑ̃tiʒœn
anti-métaphysique,anti-métaphysique,ɑ̃timEtafizik,ɑ̃timEtafizik,ɑ̃timEtafizik,ɑ̃timEtafizik
anti-monstre,anti-monstre,ɑ̃timɔ̃stʁ,ɑ̃timɔ̃stʁ,ɑ̃timɔ̃stʁ,ɑ̃timɔ̃stʁ
anti-nucléaire,anti-nucléaire:antinucléaire,ɑ̃tinyklEɛʁ,ɑ̃tinyklEɛʁ,ɑ̃tinyklEɛʁ,ɑ̃tinyklEɛʁ
anti-odorant,anti-odorant,ɑ̃tiOdOʁɑ̃,ɑ̃tiOdOʁɑ̃,ɑ̃tiOdOʁɑ̃t,ɑ̃tiOdOʁɑ̃t
anti-patriotique,anti-patriotique:antipatriotique,ɑ̃tipatʁijOtik,ɑ̃tipatʁijOtik,ɑ̃tipatʁijOtik,ɑ̃tipatʁijOtik
anti-pédérastique,anti-pédérastique,ɑ̃tipEdEʁastik,ɑ̃tipEdEʁastik,ɑ̃tipEdEʁastik,ɑ̃tipEdEʁastik
anti-pelliculaire,anti-pelliculaire:antipelliculaire,ɑ̃tipElikylɛʁ,ɑ̃tipElikylɛʁ,ɑ̃tipElikylɛʁ,ɑ̃tipElikylɛʁ
anti-pirate,anti-pirate,ɑ̃tipiʁat,ɑ̃tipiʁat,ɑ̃tipiʁat,ɑ̃tipiʁat
anti-psychotique,anti-psychotique:antipsychotique,ɑ̃tipsikOtik,ɑ̃tipsikOtik,ɑ̃tipsikOtik,ɑ̃tipsikOtik
anti-romantique,anti-romantique,ɑ̃tiʁOmɑ̃tik,ɑ̃tiʁOmɑ̃tik,ɑ̃tiʁOmɑ̃tik,ɑ̃tiʁOmɑ̃tik
anti-russe,anti-russe:antirusse,ɑ̃tiʁys,ɑ̃tiʁys,ɑ̃tiʁys,ɑ̃tiʁys
anti-sémite,anti-sémite:antisémite,ɑ̃tisEmit,ɑ̃tisEmit,ɑ̃tisEmit,ɑ̃tisEmit
anti-social,anti-social:antisocial,ɑ̃tisOsjal,ɑ̃tisOsjo,ɑ̃tisOsjal,ɑ̃tisOsjal
anti-socialiste,anti-socialiste,ɑ̃tisOsjalist,ɑ̃tisOsjalist,ɑ̃tisOsjalist,ɑ̃tisOsjalist
anti-sous-marin,anti-sous-marin,ɑ̃tisumaʁɛ̃,ɑ̃tisumaʁɛ̃,ɑ̃tisumaʁɛ̃,ɑ̃tisumaʁɛ̃
anti-soviétique,anti-soviétique:antisoviétique,ɑ̃tisOvjEtik,ɑ̃tisOvjEtik,ɑ̃tisOvjEtik,ɑ̃tisOvjEtik
anti-syndical,anti-syndical,ɑ̃tisɛ̃dikal,ɑ̃tisɛ̃diko,ɑ̃tisɛ̃dikal,ɑ̃tisɛ̃dikal
anti-tabac,anti-tabac:antitabac,ɑ̃titaba,ɑ̃titaba,ɑ̃titaba,ɑ̃titaba
