lexeme,variants,msg,mpl,fsg,fpl
décent,décent,dEsɑ̃,dEsɑ̃,dEsɑ̃t,dEsɑ̃t
décevant,décevant,dEsəvɑ̃,dEsəvɑ̃,dEsəvɑ̃t,dEsəvɑ̃t
déchaîné,déchaîné,dEʃEne,dEʃEne,dEʃEne,dEʃEne
décharné,décharné,dEʃaʁne,dEʃaʁne,dEʃaʁne,dEʃaʁne
déchaussé,déchaussé,dEʃOse,dEʃOse,dEʃOse,dEʃOse
déchiffrable,déchiffrable,dEʃifʁabl,dEʃifʁabl,dEʃifʁabl,dEʃifʁabl
déchiqueté,déchiqueté,dEʃikəte,dEʃikəte,dEʃikəte,dEʃikəte
déchirant,déchirant,dEʃiʁɑ̃,dEʃiʁɑ̃,dEʃiʁɑ̃t,dEʃiʁɑ̃t
déchiré,déchiré,dEʃiʁe,dEʃiʁe,dEʃiʁe,dEʃiʁe
déchu,déchu,dEʃy,dEʃy,dEʃy,dEʃy
décidé,décidé,dEside,dEside,dEside,dEside
décimal,décimal,dEsimal,dEsimo,dEsimal,dEsimal
décisif,décisif,dEsizif,dEsizif,dEsiziv,dEsiziv
décisionnel,décisionnel,dEsizjOnɛl,dEsizjOnɛl,dEsizjOnɛl,dEsizjOnɛl
déclamatoire,déclamatoire,dEklamatwaʁ,dEklamatwaʁ,dEklamatwaʁ,dEklamatwaʁ
déclarant,déclarant,dEklaʁɑ̃,dEklaʁɑ̃,dEklaʁɑ̃t,dEklaʁɑ̃t
déclaratif,déclaratif,dEklaʁatif,dEklaʁatif,dEklaʁativ,dEklaʁativ
déclaratoire,déclaratoire,dEklaʁatwaʁ,dEklaʁatwaʁ,dEklaʁatwaʁ,dEklaʁatwaʁ
déclaré,déclaré,dEklaʁe,dEklaʁe,dEklaʁe,dEklaʁe
déclassé,déclassé,dEklase,dEklase,dEklase,dEklase
déclenchant,déclenchant,dEklɑ̃ʃɑ̃,dEklɑ̃ʃɑ̃,dEklɑ̃ʃɑ̃t,dEklɑ̃ʃɑ̃t
déclinant,déclinant,dEklinɑ̃,dEklinɑ̃,dEklinɑ̃t,dEklinɑ̃t
déclive,déclive,dEkliv,dEkliv,dEkliv,dEkliv
déclos,déclos,dEklo,dEklo,dEkloz,dEkloz
déco,déco,dEko,dEko,dEko,dEko
décolleté,décolleté,dEkɔləte,dEkɔləte,dEkɔləte,dEkɔləte
décolorant,décolorant,dEkOlOʁɑ̃,dEkOlOʁɑ̃,dEkOlOʁɑ̃t,dEkOlOʁɑ̃t
décoloré,décoloré,dEkOlOʁe,dEkOlOʁe,dEkOlOʁe,dEkOlOʁe
décomposable,décomposable,dEkɔ̃pOzabl,dEkɔ̃pOzabl,dEkɔ̃pOzabl,dEkɔ̃pOzabl
décomposé,décomposé,dEkɔ̃pOze,dEkɔ̃pOze,dEkɔ̃pOze,dEkɔ̃pOze
déconcertant,déconcertant,dEkɔ̃sɛʁtɑ̃,dEkɔ̃sɛʁtɑ̃,dEkɔ̃sɛʁtɑ̃t,dEkɔ̃sɛʁtɑ̃t
déconcerté,déconcerté,dEkɔ̃sɛʁte,dEkɔ̃sɛʁte,dEkɔ̃sɛʁte,dEkɔ̃sɛʁte
déconfit,déconfit,dEkɔ̃fi,dEkɔ̃fi,dEkɔ̃fit,dEkɔ̃fit
décontenancé,décontenancé,dEkɔ̃tənɑ̃se,dEkɔ̃tənɑ̃se,dEkɔ̃tənɑ̃se,dEkɔ̃tənɑ̃se
décontract,décontract,dEkɔ̃tʁakt,dEkɔ̃tʁakt,dEkɔ̃tʁakt,dEkɔ̃tʁakt
décontracté,décontracté,dEkɔ̃tʁakte,dEkɔ̃tʁakte,dEkɔ̃tʁakte,dEkɔ̃tʁakte
décoratif,décoratif,dEkOʁatif,dEkOʁatif,dEkOʁativ,dEkOʁativ
décoré,décoré,dEkOʁe,dEkOʁe,dEkOʁe,dEkOʁe
décortiqué,décortiqué,dEkɔʁtike,dEkɔʁtike,dEkɔʁtike,dEkɔʁtike
découpé,découpé,dEkupe,dEkupe,dEkupe,dEkupe
découplé,découplé,dEkuple,dEkuple,dEkuple,dEkuple
découragé,découragé,dEkuʁaʒe,dEkuʁaʒe,dEkuʁaʒe,dEkuʁaʒe
décourageant,décourageant,dEkuʁaʒɑ̃,dEkuʁaʒɑ̃,dEkuʁaʒɑ̃t,dEkuʁaʒɑ̃t
décousu,décousu,dEkuzy,dEkuzy,dEkuzy,dEkuzy
découvert,découvert,dEkuvɛʁ,dEkuvɛʁ,dEkuvɛʁt,dEkuvɛʁt
décrépit,décrépit,dEkʁEpi,dEkʁEpi,dEkʁEpit,dEkʁEpit
décrié,décrié,dEkʁije,dEkʁije,dEkʁije,dEkʁije
décrit,décrit,dEkʁi,dEkʁi,dEkʁit,dEkʁit
décrochant,décrochant,dEkʁOʃɑ̃,dEkʁOʃɑ̃,dEkʁOʃɑ̃t,dEkʁOʃɑ̃t
décroissant,décroissant,dEkʁwasɑ̃,dEkʁwasɑ̃,dEkʁwasɑ̃t,dEkʁwasɑ̃t
déçu,déçu,dEsy,dEsy,dEsy,dEsy
déculotté,déculotté,dEkylOte,dEkylOte,dEkylOte,dEkylOte
décuple,décuple,dEkypl,dEkypl,dEkypl,dEkypl
décuplé,décuplé,dEkyple,dEkyple,dEkyple,dEkyple
dédaignable,dédaignable,dEdEɲabl,dEdEɲabl,dEdEɲabl,dEdEɲabl
dédaigneux,dédaigneux,dEdEɲø,dEdEɲø,dEdEɲøz,dEdEɲøz
dédicacé,dédicacé,dEdikase,dEdikase,dEdikase,dEdikase
dédicatoire,dédicatoire,dEdikatwaʁ,dEdikatwaʁ,dEdikatwaʁ,dEdikatwaʁ
dédié,dédié,dEdje,dEdje,dEdje,dEdje
déductible,déductible,dEdyktibl,dEdyktibl,dEdyktibl,dEdyktibl
déductif,déductif,dEdyktif,dEdyktif,dEdyktiv,dEdyktiv
défaillant,défaillant,dEfajɑ̃,dEfajɑ̃,dEfajɑ̃t,dEfajɑ̃t
défait,défait,dEfɛ,dEfɛ,dEfɛt,dEfɛt
défaitiste,défaitiste,dEfEtist,dEfEtist,dEfEtist,dEfEtist
défavorable,défavorable,dEfavOʁabl,dEfavOʁabl,dEfavOʁabl,dEfavOʁabl
défavorisé,défavorisé,dEfavOʁize,dEfavOʁize,dEfavOʁize,dEfavOʁize
défécatoire,défécatoire,dEfEkatwaʁ,dEfEkatwaʁ,dEfEkatwaʁ,dEfEkatwaʁ
défectible,défectible,dEfEktibl,dEfEktibl,dEfEktibl,dEfEktibl
défectif,défectif,dEfEktif,dEfEktif,dEfEktiv,dEfEktiv
défectionnaire,défectionnaire,dEfEksjOnɛʁ,dEfEksjOnɛʁ,dEfEksjOnɛʁ,dEfEksjOnɛʁ
défectueux,défectueux,dEfEktɥø,dEfEktɥø,dEfEktɥøz,dEfEktɥøz
défendable,défendable,dEfɑ̃dabl,dEfɑ̃dabl,dEfɑ̃dabl,dEfɑ̃dabl
défendu,défendu,dEfɑ̃dy,dEfɑ̃dy,dEfɑ̃dy,dEfɑ̃dy
défensif,défensif,dEfɑ̃sif,dEfɑ̃sif,dEfɑ̃siv,dEfɑ̃siv
déférent,déférent,dEfEʁɑ̃,dEfEʁɑ̃,dEfEʁɑ̃t,dEfEʁɑ̃t
déferlant,déferlant,dEfɛʁlɑ̃,dEfɛʁlɑ̃,dEfɛʁlɑ̃t,dEfɛʁlɑ̃t
déferré,déferré,dEfEʁe,dEfEʁe,dEfEʁe,dEfEʁe
défiant,défiant,dEfjɑ̃,dEfjɑ̃,dEfjɑ̃t,dEfjɑ̃t
déficient,déficient,dEfisjɑ̃,dEfisjɑ̃,dEfisjɑ̃t,dEfisjɑ̃t
déficitaire,déficitaire,dEfisitɛʁ,dEfisitɛʁ,dEfisitɛʁ,dEfisitɛʁ
défiguré,défiguré,dEfigyʁe,dEfigyʁe,dEfigyʁe,dEfigyʁe
défilant,défilant,dEfilɑ̃,dEfilɑ̃,dEfilɑ̃t,dEfilɑ̃t
défini,défini,dEfini,dEfini,dEfini,dEfini
définissable,définissable,dEfinisabl,dEfinisabl,dEfinisabl,dEfinisabl
définitif,définitif,dEfinitif,dEfinitif,dEfinitiv,dEfinitiv
déflagrant,déflagrant,dEflagʁɑ̃,dEflagʁɑ̃,dEflagʁɑ̃t,dEflagʁɑ̃t
déflationniste,déflationniste,dEflasjOnist,dEflasjOnist,dEflasjOnist,dEflasjOnist
déflecteur,déflecteur,dEflEktœʁ,dEflEktœʁ,dEflEktʁis,dEflEktʁis
défoncé,défoncé,dEfɔ̃se,dEfɔ̃se,dEfɔ̃se,dEfɔ̃se
déformant,déformant,dEfɔʁmɑ̃,dEfɔʁmɑ̃,dEfɔʁmɑ̃t,dEfɔʁmɑ̃t
déformé,déformé,dEfɔʁme,dEfɔʁme,dEfɔʁme,dEfɔʁme
défraîchi,défraîchi,dEfʁEʃi,dEfʁEʃi,dEfʁEʃi,dEfʁEʃi
défroqué,défroqué,dEfʁOke,dEfʁOke,dEfʁOke,dEfʁOke
défunt,défunt,dEfœ̃,dEfœ̃,dEfœ̃t,dEfœ̃t
dégagé,dégagé,dEgaʒe,dEgaʒe,dEgaʒe,dEgaʒe
dégarni,dégarni,dEgaʁni,dEgaʁni,dEgaʁni,dEgaʁni
dégénératif,dégénératif,dEʒEnEʁatif,dEʒEnEʁatif,dEʒEnEʁativ,dEʒEnEʁativ
dégénéré,dégénéré,dEʒEnEʁe,dEʒEnEʁe,dEʒEnEʁe,dEʒEnEʁe
dégingandé,dégingandé,dEʒɛ̃gɑ̃de,dEʒɛ̃gɑ̃de,dEʒɛ̃gɑ̃de,dEʒɛ̃gɑ̃de
déglingué,déglingué,dEglɛ̃ge,dEglɛ̃ge,dEglɛ̃ge,dEglɛ̃ge
dégonflé,dégonflé,dEgɔ̃fle,dEgɔ̃fle,dEgɔ̃fle,dEgɔ̃fle
dégoulinant,dégoulinant,dEgulinɑ̃,dEgulinɑ̃,dEgulinɑ̃t,dEgulinɑ̃t
dégourdi,dégourdi,dEguʁdi,dEguʁdi,dEguʁdi,dEguʁdi
dégoûtant,dégoûtant:dégouttant,dEgutɑ̃,dEgutɑ̃,dEgutɑ̃t,dEgutɑ̃t
dégoûté,dégoûté,dEgute,dEgute,dEgute,dEgute
dégradable,dégradable,dEgʁadabl,dEgʁadabl,dEgʁadabl,dEgʁadabl
dégradant,dégradant,dEgʁadɑ̃,dEgʁadɑ̃,dEgʁadɑ̃t,dEgʁadɑ̃t
dégradé,dégradé,dEgʁade,dEgʁade,dEgʁade,dEgʁade
dégraissant,dégraissant,dEgʁEsɑ̃,dEgʁEsɑ̃,dEgʁEsɑ̃t,dEgʁEsɑ̃t
dégressif,dégressif,dEgʁEsif,dEgʁEsif,dEgʁEsiv,dEgʁEsiv
dégriffé,dégriffé,dEgʁife,dEgʁife,dEgʁife,dEgʁife
dégrossi,dégrossi,dEgʁOsi,dEgʁOsi,dEgʁOsi,dEgʁOsi
déguenillé,déguenillé,dEgənije,dEgənije,dEgənije,dEgənije
dégueu,dégueu,dEgø,dEgø,dEgø,dEgø
dégueulasse,dégueulasse,dEgØlas,dEgØlas,dEgØlas,dEgØlas
déguisé,déguisé,dEgize,dEgize,dEgize,dEgize
déhanché,déhanché,dEɑ̃ʃe,dEɑ̃ʃe,dEɑ̃ʃe,dEɑ̃ʃe
déicide,déicide,dEisid,dEisid,dEisid,dEisid
déjanté,déjanté,dEʒɑ̃te,dEʒɑ̃te,dEʒɑ̃te,dEʒɑ̃te
déjeté,déjeté,dEʒəte,dEʒəte,dEʒəte,dEʒəte
délabré,délabré,dElabʁe,dElabʁe,dElabʁe,dElabʁe
délaissé,délaissé,dElEse,dElEse,dElEse,dElEse
délassant,délassant,dElasɑ̃,dElasɑ̃,dElasɑ̃t,dElasɑ̃t
délavé,délavé,dElave,dElave,dElave,dElave
délayé,délayé,dElEje,dElEje,dElEje,dElEje
délectable,délectable,dElEktabl,dElEktabl,dElEktabl,dElEktabl
délégué-général,délégué-général,dElEgeʒEnEʁal,dElEgeʒEnEʁo,dElEgeʒEnEʁal,dElEgeʒEnEʁal
délégué,délégué,dElEge,dElEge,dElEge,dElEge
délétère,délétère,dElEtɛʁ,dElEtɛʁ,dElEtɛʁ,dElEtɛʁ
délibératif,délibératif,dElibEʁatif,dElibEʁatif,dElibEʁativ,dElibEʁativ
délibératoire,délibératoire,dElibEʁatwaʁ,dElibEʁatwaʁ,dElibEʁatwaʁ,dElibEʁatwaʁ
délibéré,délibéré,dElibEʁe,dElibEʁe,dElibEʁe,dElibEʁe
délicat,délicat,dElika,dElika,dElikat,dElikat
délicieux,délicieux,dElisjø,dElisjø,dElisjøz,dElisjøz
délictuel,délictuel,dEliktɥɛl,dEliktɥɛl,dEliktɥɛl,dEliktɥɛl
délictueux,délictueux,dEliktɥø,dEliktɥø,dEliktɥøz,dEliktɥøz
délié,délié,dElje,dElje,dElje,dElje
délimitant,délimitant,dElimitɑ̃,dElimitɑ̃,dElimitɑ̃t,dElimitɑ̃t
délinquant,délinquant,dElɛ̃kɑ̃,dElɛ̃kɑ̃,dElɛ̃kɑ̃t,dElɛ̃kɑ̃t
déliquescent,déliquescent,dElikEsɑ̃,dElikEsɑ̃,dElikEsɑ̃t,dElikEsɑ̃t
délirant,délirant,dEliʁɑ̃,dEliʁɑ̃,dEliʁɑ̃t,dEliʁɑ̃t
déloyal,déloyal,dElwajal,dElwajo,dElwajal,dElwajal
deltoïde,deltoïde,dɛltOid,dɛltOid,dɛltOid,dɛltOid
déluré,déluré,dElyʁe,dElyʁe,dElyʁe,dElyʁe
démago,démago,dEmago,dEmago,dEmago,dEmago
démagogique,démagogique,dEmagOʒik,dEmagOʒik,dEmagOʒik,dEmagOʒik
démagogue,démagogue,dEmagɔg,dEmagɔg,dEmagɔg,dEmagɔg
démaquillant,démaquillant,dEmakijɑ̃,dEmakijɑ̃,dEmakijɑ̃t,dEmakijɑ̃t
démêlant,démêlant,dEmElɑ̃,dEmElɑ̃,dEmElɑ̃t,dEmElɑ̃t
démêlé,démêlé,dEmEle,dEmEle,dEmEle,dEmEle
dément,dément,dEmɑ̃,dEmɑ̃,dEmɑ̃t,dEmɑ̃t
démenti,démenti,dEmɑ̃ti,dEmɑ̃ti,dEmɑ̃ti,dEmɑ̃ti
démentiel,démentiel,dEmɑ̃sjɛl,dEmɑ̃sjɛl,dEmɑ̃sjɛl,dEmɑ̃sjɛl
démerdard,démerdard,dEmɛʁdaʁ,dEmɛʁdaʁ,dEmɛʁdaʁd,dEmɛʁdaʁd
démesuré,démesuré,dEməzyʁe,dEməzyʁe,dEməzyʁe,dEməzyʁe
demeuré,demeuré,dəmØʁe,dəmØʁe,dəmØʁe,dəmØʁe
demi-dévêtu,demi-dévêtu,dəmidEvEty,dəmidEvEty,dəmidEvEty,dəmidEvEty
demi-juif,demi-juif,dəmiʒɥif,dəmiʒɥif,dəmiʒɥiv,dəmiʒɥiv
demi-mort,demi-mort,dəmimɔʁ,dəmimɔʁ,dəmimɔʁt,dəmimɔʁt
demi-nu,demi-nu,dəminy,dəminy,dəminy,dəminy
demi-ouvert,demi-ouvert,dəmiuvɛʁ,dəmiuvɛʁ,dəmiuvɛʁt,dəmiuvɛʁt
demi-paralysé,demi-paralysé,dəmipaʁalize,dəmipaʁalize,dəmipaʁalize,dəmipaʁalize
demi-plein,demi-plein,dəmiplɛ̃,dəmiplɛ̃,dəmiplɛn,dəmiplɛn
demi-pouce,demi-pouce,dəmipus,dəmipus,dəmipus,dəmipus
demi,demi,dəmi,dəmi,dəmi,dəmi
démis,démis,dEmi,dEmi,dEmiz,dEmiz
démissionnaire,démissionnaire,dEmisjOnɛʁ,dEmisjOnɛʁ,dEmisjOnɛʁ,dEmisjOnɛʁ
démobilisateur,démobilisateur,dEmObilizatœʁ,dEmObilizatœʁ,dEmObilizatʁis,dEmObilizatʁis
démobilisé,démobilisé,dEmObilize,dEmObilize,dEmObilize,dEmObilize
démocrate-chrétien,démocrate-chrétien,dEmOkʁatkʁEtjɛ̃,dEmOkʁatkʁEtjɛ̃,dEmOkʁatkʁEtjɛn,dEmOkʁatkʁEtjɛn
démocrate,démocrate,dEmOkʁat,dEmOkʁat,dEmOkʁat,dEmOkʁat
démocratique,démocratique,dEmOkʁatik,dEmOkʁatik,dEmOkʁatik,dEmOkʁatik
démodé,démodé,dEmOde,dEmOde,dEmOde,dEmOde
démographique,démographique,dEmOgʁafik,dEmOgʁafik,dEmOgʁafik,dEmOgʁafik
démoniaque,démoniaque,dEmOnjak,dEmOnjak,dEmOnjak,dEmOnjak
démonique,démonique,dEmOnik,dEmOnik,dEmOnik,dEmOnik
démonstratif,démonstratif,dEmɔ̃stʁatif,dEmɔ̃stʁatif,dEmɔ̃stʁativ,dEmɔ̃stʁativ
démontable,démontable,dEmɔ̃tabl,dEmɔ̃tabl,dEmɔ̃tabl,dEmɔ̃tabl
démonté,démonté,dEmɔ̃te,dEmɔ̃te,dEmɔ̃te,dEmɔ̃te
démontrable,démontrable,dEmɔ̃tʁabl,dEmɔ̃tʁabl,dEmɔ̃tʁabl,dEmɔ̃tʁabl
démoralisant,démoralisant,dEmOʁalizɑ̃,dEmOʁalizɑ̃,dEmOʁalizɑ̃t,dEmOʁalizɑ̃t
démoralisateur,démoralisateur,dEmOʁalizatœʁ,dEmOʁalizatœʁ,dEmOʁalizatʁis,dEmOʁalizatʁis
démoralisé,démoralisé,dEmOʁalize,dEmOʁalize,dEmOʁalize,dEmOʁalize
démotique,démotique,dEmOtik,dEmOtik,dEmOtik,dEmOtik
démuni,démuni,dEmyni,dEmyni,dEmyni,dEmyni
démystificateur,démystificateur,dEmistifikatœʁ,dEmistifikatœʁ,dEmistifikatʁis,dEmistifikatʁis
dénaturé,dénaturé,dEnatyʁe,dEnatyʁe,dEnatyʁe,dEnatyʁe
dénégateur,dénégateur,dEnEgatœʁ,dEnEgatœʁ,dEnEgatʁis,dEnEgatʁis
dénigrant,dénigrant,dEnigʁɑ̃,dEnigʁɑ̃,dEnigʁɑ̃t,dEnigʁɑ̃t
dénivelé,dénivelé,dEnivəle,dEnivəle,dEnivəle,dEnivəle
dénombrable,dénombrable,dEnɔ̃bʁabl,dEnɔ̃bʁabl,dEnɔ̃bʁabl,dEnɔ̃bʁabl
dénominatif,dénominatif,dEnOminatif,dEnOminatif,dEnOminativ,dEnOminativ
dénommé,dénommé,dEnOme,dEnOme,dEnOme,dEnOme
dénonciateur,dénonciateur,dEnɔ̃sjatœʁ,dEnɔ̃sjatœʁ,dEnɔ̃sjatʁis,dEnɔ̃sjatʁis
dense,dense,dɑ̃s,dɑ̃s,dɑ̃s,dɑ̃s
dentaire,dentaire,dɑ̃tɛʁ,dɑ̃tɛʁ,dɑ̃tɛʁ,dɑ̃tɛʁ
dental,dental,dɑ̃tal,dɑ̃to,dɑ̃tal,dɑ̃tal
denté,denté,dɑ̃te,dɑ̃te,dɑ̃te,dɑ̃te
dentelé,dentelé,dɑ̃təle,dɑ̃təle,dɑ̃təle,dɑ̃təle
dentellier,dentellier,dɑ̃təlje,dɑ̃təlje,dɑ̃təljɛʁ,dɑ̃təljɛʁ
dentifrice,dentifrice,dɑ̃tifʁis,dɑ̃tifʁis,dɑ̃tifʁis,dɑ̃tifʁis
dénudé,dénudé,dEnyde,dEnyde,dEnyde,dEnyde
dénué,dénué,dEnɥe,dEnɥe,dEnɥe,dEnɥe
déodorant,déodorant,dEOdOʁɑ̃,dEOdOʁɑ̃,dEOdOʁɑ̃t,dEOdOʁɑ̃t
déontologique,déontologique,dEɔ̃tOlOʒik,dEɔ̃tOlOʒik,dEɔ̃tOlOʒik,dEɔ̃tOlOʒik
dépareillé,dépareillé,dEpaʁEje,dEpaʁEje,dEpaʁEje,dEpaʁEje
départemental,départemental,dEpaʁtəmɑ̃tal,dEpaʁtəmɑ̃to,dEpaʁtəmɑ̃tal,dEpaʁtəmɑ̃tal
dépassé,dépassé,dEpase,dEpase,dEpase,dEpase
dépaysant,dépaysant,dEpEizɑ̃,dEpEizɑ̃,dEpEizɑ̃t,dEpEizɑ̃t
dépeint,dépeint,dEpɛ̃,dEpɛ̃,dEpɛ̃t,dEpɛ̃t
dépenaillé,dépenaillé,dEpənaje,dEpənaje,dEpənaje,dEpənaje
dépendant,dépendant,dEpɑ̃dɑ̃,dEpɑ̃dɑ̃,dEpɑ̃dɑ̃t,dEpɑ̃dɑ̃t
dépensier,dépensier,dEpɑ̃sje,dEpɑ̃sje,dEpɑ̃sjɛʁ,dEpɑ̃sjɛʁ
dépersonnalisé,dépersonnalisé,dEpɛʁsOnalize,dEpɛʁsOnalize,dEpɛʁsOnalize,dEpɛʁsOnalize
dépeuplé,dépeuplé,dEpØple,dEpØple,dEpØple,dEpØple
déphasé,déphasé,dEfaze,dEfaze,dEfaze,dEfaze
dépilatoire,dépilatoire,dEpilatwaʁ,dEpilatwaʁ,dEpilatwaʁ,dEpilatwaʁ
dépité,dépité,dEpite,dEpite,dEpite,dEpite
déplacé,déplacé,dEplase,dEplase,dEplase,dEplase
déplaisant,déplaisant,dEplEzɑ̃,dEplEzɑ̃,dEplEzɑ̃t,dEplEzɑ̃t
dépliable,dépliable,dEplijabl,dEplijabl,dEplijabl,dEplijabl
dépliant,dépliant,dEplijɑ̃,dEplijɑ̃,dEplijɑ̃t,dEplijɑ̃t
déplorable,déplorable,dEplOʁabl,dEplOʁabl,dEplOʁabl,dEplOʁabl
déployé,déployé,dEplwaje,dEplwaje,dEplwaje,dEplwaje
déplumé,déplumé,dEplyme,dEplyme,dEplyme,dEplyme
dépoitraillé,dépoitraillé,dEpwatʁaje,dEpwatʁaje,dEpwatʁaje,dEpwatʁaje
dépoli,dépoli,dEpOli,dEpOli,dEpOli,dEpOli
déporté,déporté,dEpɔʁte,dEpɔʁte,dEpɔʁte,dEpɔʁte
déposant,déposant,dEpOzɑ̃,dEpOzɑ̃,dEpOzɑ̃t,dEpOzɑ̃t
dépouillé,dépouillé,dEpuje,dEpuje,dEpuje,dEpuje
dépourvu,dépourvu,dEpuʁvy,dEpuʁvy,dEpuʁvy,dEpuʁvy
dépravé,dépravé,dEpʁave,dEpʁave,dEpʁave,dEpʁave
déprédateur,déprédateur,dEpʁEdatœʁ,dEpʁEdatœʁ,dEpʁEdatʁis,dEpʁEdatʁis
dépressif,dépressif,dEpʁEsif,dEpʁEsif,dEpʁEsiv,dEpʁEsiv
dépressionnaire,dépressionnaire,dEpʁEsjOnɛʁ,dEpʁEsjOnɛʁ,dEpʁEsjOnɛʁ,dEpʁEsjOnɛʁ
déprimant,déprimant,dEpʁimɑ̃,dEpʁimɑ̃,dEpʁimɑ̃t,dEpʁimɑ̃t
déprimé,déprimé,dEpʁime,dEpʁime,dEpʁime,dEpʁime
dépuratif,dépuratif,dEpyʁatif,dEpyʁatif,dEpyʁativ,dEpyʁativ
déracinant,déracinant,dEʁasinɑ̃,dEʁasinɑ̃,dEʁasinɑ̃t,dEʁasinɑ̃t
déraciné,déraciné,dEʁasine,dEʁasine,dEʁasine,dEʁasine
déraisonnable,déraisonnable,dEʁEzOnabl,dEʁEzOnabl,dEʁEzOnabl,dEʁEzOnabl
dérangé,dérangé,dEʁɑ̃ʒe,dEʁɑ̃ʒe,dEʁɑ̃ʒe,dEʁɑ̃ʒe
dérangeant,dérangeant,dEʁɑ̃ʒɑ̃,dEʁɑ̃ʒɑ̃,dEʁɑ̃ʒɑ̃t,dEʁɑ̃ʒɑ̃t
déréglé,déréglé,dEʁEgle,dEʁEgle,dEʁEgle,dEʁEgle
dérisoire,dérisoire,dEʁizwaʁ,dEʁizwaʁ,dEʁizwaʁ,dEʁizwaʁ
dérivant,dérivant,dEʁivɑ̃,dEʁivɑ̃,dEʁivɑ̃t,dEʁivɑ̃t
dérivé,dérivé,dEʁive,dEʁive,dEʁive,dEʁive
dermatologique,dermatologique,dɛʁmatOlOʒik,dɛʁmatOlOʒik,dɛʁmatOlOʒik,dɛʁmatOlOʒik
dermique,dermique,dɛʁmik,dɛʁmik,dɛʁmik,dɛʁmik
dernier,dernier,dɛʁnje,dɛʁnje,dɛʁnjɛʁ,dɛʁnjɛʁ
dérobé,dérobé,dEʁObe,dEʁObe,dEʁObe,dEʁObe
dérobeur,dérobeur,dEʁObœʁ,dEʁObœʁ,dEʁObøz,dEʁObøz
dérogatoire,dérogatoire,dEʁOgatwaʁ,dEʁOgatwaʁ,dEʁOgatwaʁ,dEʁOgatwaʁ
déroulant,déroulant,dEʁulɑ̃,dEʁulɑ̃,dEʁulɑ̃t,dEʁulɑ̃t
déroutant,déroutant,dEʁutɑ̃,dEʁutɑ̃,dEʁutɑ̃t,dEʁutɑ̃t
désabusé,désabusé,dEzabyze,dEzabyze,dEzabyze,dEzabyze
désaffecté,désaffecté,dEzafEkte,dEzafEkte,dEzafEkte,dEzafEkte
désagréable,désagréable,dEzagʁEabl,dEzagʁEabl,dEzagʁEabl,dEzagʁEabl
désaltérant,désaltérant,dEzaltEʁɑ̃,dEzaltEʁɑ̃,dEzaltEʁɑ̃t,dEzaltEʁɑ̃t
désappointé,désappointé,dEzapwɛ̃te,dEzapwɛ̃te,dEzapwɛ̃te,dEzapwɛ̃te
désapprobateur,désapprobateur,dEzapʁObatœʁ,dEzapʁObatœʁ,dEzapʁObatʁis,dEzapʁObatʁis
désarçonné,désarçonné,dEzaʁsOne,dEzaʁsOne,dEzaʁsOne,dEzaʁsOne
désargenté,désargenté,dEzaʁʒɑ̃te,dEzaʁʒɑ̃te,dEzaʁʒɑ̃te,dEzaʁʒɑ̃te
désarmant,désarmant,dEzaʁmɑ̃,dEzaʁmɑ̃,dEzaʁmɑ̃t,dEzaʁmɑ̃t
désarmé,désarmé,dEzaʁme,dEzaʁme,dEzaʁme,dEzaʁme
désassorti,désassorti,dEzasɔʁti,dEzasɔʁti,dEzasɔʁti,dEzasɔʁti
désastreux,désastreux,dEzastʁø,dEzastʁø,dEzastʁøz,dEzastʁøz
désavantageux,désavantageux,dEzavɑ̃taʒø,dEzavɑ̃taʒø,dEzavɑ̃taʒøz,dEzavɑ̃taʒøz
désaxé,désaxé,dEzakse,dEzakse,dEzakse,dEzakse
descendant,descendant,dEsɑ̃dɑ̃,dEsɑ̃dɑ̃,dEsɑ̃dɑ̃t,dEsɑ̃dɑ̃t
descriptible,descriptible,dEskʁiptibl,dEskʁiptibl,dEskʁiptibl,dEskʁiptibl
descriptif,descriptif,dEskʁiptif,dEskʁiptif,dEskʁiptiv,dEskʁiptiv
désemparé,désemparé,dEzɑ̃paʁe,dEzɑ̃paʁe,dEzɑ̃paʁe,dEzɑ̃paʁe
désenchanté,désenchanté,dEzɑ̃ʃɑ̃te,dEzɑ̃ʃɑ̃te,dEzɑ̃ʃɑ̃te,dEzɑ̃ʃɑ̃te
déséquilibré,déséquilibré,dEzEkilibʁe,dEzEkilibʁe,dEzEkilibʁe,dEzEkilibʁe
désert,désert,dEzɛʁ,dEzɛʁ,dEzɛʁt,dEzɛʁt
déserté,déserté,dEzɛʁte,dEzɛʁte,dEzɛʁte,dEzɛʁte
désertique,désertique,dEzɛʁtik,dEzɛʁtik,dEzɛʁtik,dEzɛʁtik
désespérant,désespérant,dEzEspEʁɑ̃,dEzEspEʁɑ̃,dEzEspEʁɑ̃t,dEzEspEʁɑ̃t
désespéré,désespéré,dEzEspEʁe,dEzEspEʁe,dEzEspEʁe,dEzEspEʁe
déshabillé,déshabillé,dEzabije,dEzabije,dEzabije,dEzabije
déshabité,déshabité,dEzabite,dEzabite,dEzabite,dEzabite
désherbant,désherbant,dEzɛʁbɑ̃,dEzɛʁbɑ̃,dEzɛʁbɑ̃t,dEzɛʁbɑ̃t
déshérité,déshérité,dEzEʁite,dEzEʁite,dEzEʁite,dEzEʁite
