lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
abaisser,abaisser,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront,abaisserais,abaisserais,abaisserait,abaisserions,abaisseriez,abaisseraient,abaisse,abaisses,abaisse,abaissions,abaissiez,abaissent,abaissai,abaissas,abaissa,abaissâmes,abaissâtes,abaissèrent,abaissasse,abaissasses,abaissât,abaissassions,abaissassiez,abaissassent,abaisse,abaissons,abaissez
abandonner,abandonner,abandonne,abandonnes,abandonne,abandonnons,abandonnez,abandonnent,abandonnais,abandonnais,abandonnait,abandonnions,abandonniez,abandonnaient,abandonnerai,abandonneras,abandonnera,abandonnerons,abandonnerez,abandonneront,abandonnerais,abandonnerais,abandonnerait,abandonnerions,abandonneriez,abandonneraient,abandonne,abandonnes,abandonne,abandonnions,abandonniez,abandonnent,abandonnai,abandonnas,abandonna,abandonnâmes,abandonnâtes,abandonnèrent,abandonnasse,abandonnasses,abandonnât,abandonnassions,abandonnassiez,abandonnassent,abandonne,abandonnons,abandonnez
abasourdir,abasourdir,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront,abasourdirais,abasourdirais,abasourdirait,abasourdirions,abasourdiriez,abasourdiraient,abasourdisse,abasourdisses,abasourdisse,abasourdissions,abasourdissiez,abasourdissent,abasourdis,abasourdis,abasourdit,abasourdîmes,abasourdîtes,abasourdirent,abasourdisse,abasourdisses,abasourdît,abasourdissions,abasourdissiez,abasourdissent,abasourdis,abasourdissons,abasourdissez
abâtardir,abâtardir,abâtardis,abâtardis,abâtardit,abâtardissons,abâtardissez,abâtardissent,abâtardissais,abâtardissais,abâtardissait,abâtardissions,abâtardissiez,abâtardissaient,abâtardirai,abâtardiras,abâtardira,abâtardirons,abâtardirez,abâtardiront,abâtardirais,abâtardirais,abâtardirait,abâtardirions,abâtardiriez,abâtardiraient,abâtardisse,abâtardisses,abâtardisse,abâtardissions,abâtardissiez,abâtardissent,abâtardis,abâtardis,abâtardit,abâtardîmes,abâtardîtes,abâtardirent,abâtardisse,abâtardisses,abâtardît,abâtardissions,abâtardissiez,abâtardissent,abâtardis,abâtardissons,abâtardissez
abattre,abattre,abats,abats,abat,abattons,abattez,abattent,abattais,abattais,abattait,abattions,abattiez,abattaient,abattrai,abattras,abattra,abattrons,abattrez,abattront,abattrais,abattrais,abattrait,abattrions,abattriez,abattraient,abatte,abattes,abatte,abattions,abattiez,abattent,abattis,abattis,abattit,abattîmes,abattîtes,abattirent,abattisse,abattisses,abattît,abattissions,abattissiez,abattissent,abats,abattons,abattez
abdiquer,abdiquer,abdique,abdiques,abdique,abdiquons,abdiquez,abdiquent,abdiquais,abdiquais,abdiquait,abdiquions,abdiquiez,abdiquaient,abdiquerai,abdiqueras,abdiquera,abdiquerons,abdiquerez,abdiqueront,abdiquerais,abdiquerais,abdiquerait,abdiquerions,abdiqueriez,abdiqueraient,abdique,abdiques,abdique,abdiquions,abdiquiez,abdiquent,abdiquai,abdiquas,abdiqua,abdiquâmes,abdiquâtes,abdiquèrent,abdiquasse,abdiquasses,abdiquât,abdiquassions,abdiquassiez,abdiquassent,abdique,abdiquons,abdiquez
abêtir,abêtir,abêtis,abêtis,abêtit,abêtissons,abêtissez,abêtissent,abêtissais,abêtissais,abêtissait,abêtissions,abêtissiez,abêtissaient,abêtirai,abêtiras,abêtira,abêtirons,abêtirez,abêtiront,abêtirais,abêtirais,abêtirait,abêtirions,abêtiriez,abêtiraient,abêtisse,abêtisses,abêtisse,abêtissions,abêtissiez,abêtissent,abêtis,abêtis,abêtit,abêtîmes,abêtîtes,abêtirent,abêtisse,abêtisses,abêtît,abêtissions,abêtissiez,abêtissent,abêtis,abêtissons,abêtissez
abhorrer,abhorrer,abhorre,abhorres,abhorre,abhorrons,abhorrez,abhorrent,abhorrais,abhorrais,abhorrait,abhorrions,abhorriez,abhorraient,abhorrerai,abhorreras,abhorrera,abhorrerons,abhorrerez,abhorreront,abhorrerais,abhorrerais,abhorrerait,abhorrerions,abhorreriez,abhorreraient,abhorre,abhorres,abhorre,abhorrions,abhorriez,abhorrent,abhorrai,abhorras,abhorra,abhorrâmes,abhorrâtes,abhorrèrent,abhorrasse,abhorrasses,abhorrât,abhorrassions,abhorrassiez,abhorrassent,abhorre,abhorrons,abhorrez
abîmer,abîmer,abîme,abîmes,abîme,abîmons,abîmez,abîment,abîmais,abîmais,abîmait,abîmions,abîmiez,abîmaient,abîmerai,abîmeras,abîmera,abîmerons,abîmerez,abîmeront,abîmerais,abîmerais,abîmerait,abîmerions,abîmeriez,abîmeraient,abîme,abîmes,abîme,abîmions,abîmiez,abîment,abîmai,abîmas,abîma,abîmâmes,abîmâtes,abîmèrent,abîmasse,abîmasses,abîmât,abîmassions,abîmassiez,abîmassent,abîme,abîmons,abîmez
abjurer,abjurer,abjure,abjures,abjure,abjurons,abjurez,abjurent,abjurais,abjurais,abjurait,abjurions,abjuriez,abjuraient,abjurerai,abjureras,abjurera,abjurerons,abjurerez,abjureront,abjurerais,abjurerais,abjurerait,abjurerions,abjureriez,abjureraient,abjure,abjures,abjure,abjurions,abjuriez,abjurent,abjurai,abjuras,abjura,abjurâmes,abjurâtes,abjurèrent,abjurasse,abjurasses,abjurât,abjurassions,abjurassiez,abjurassent,abjure,abjurons,abjurez
abolir,abolir,abolis,abolis,abolit,abolissons,abolissez,abolissent,abolissais,abolissais,abolissait,abolissions,abolissiez,abolissaient,abolirai,aboliras,abolira,abolirons,abolirez,aboliront,abolirais,abolirais,abolirait,abolirions,aboliriez,aboliraient,abolisse,abolisses,abolisse,abolissions,abolissiez,abolissent,abolis,abolis,abolit,abolîmes,abolîtes,abolirent,abolisse,abolisses,abolît,abolissions,abolissiez,abolissent,abolis,abolissons,abolissez
abominer,abominer,abomine,abomines,abomine,abominons,abominez,abominent,abominais,abominais,abominait,abominions,abominiez,abominaient,abominerai,abomineras,abominera,abominerons,abominerez,abomineront,abominerais,abominerais,abominerait,abominerions,abomineriez,abomineraient,abomine,abomines,abomine,abominions,abominiez,abominent,abominai,abominas,abomina,abominâmes,abominâtes,abominèrent,abominasse,abominasses,abominât,abominassions,abominassiez,abominassent,abomine,abominons,abominez
abonder,abonder,abonde,abondes,abonde,abondons,abondez,abondent,abondais,abondais,abondait,abondions,abondiez,abondaient,abonderai,abonderas,abondera,abonderons,abonderez,abonderont,abonderais,abonderais,abonderait,abonderions,abonderiez,abonderaient,abonde,abondes,abonde,abondions,abondiez,abondent,abondai,abondas,abonda,abondâmes,abondâtes,abondèrent,abondasse,abondasses,abondât,abondassions,abondassiez,abondassent,abonde,abondons,abondez
abonner,abonner,abonne,abonnes,abonne,abonnons,abonnez,abonnent,abonnais,abonnais,abonnait,abonnions,abonniez,abonnaient,abonnerai,abonneras,abonnera,abonnerons,abonnerez,abonneront,abonnerais,abonnerais,abonnerait,abonnerions,abonneriez,abonneraient,abonne,abonnes,abonne,abonnions,abonniez,abonnent,abonnai,abonnas,abonna,abonnâmes,abonnâtes,abonnèrent,abonnasse,abonnasses,abonnât,abonnassions,abonnassiez,abonnassent,abonne,abonnons,abonnez
abonnir,abonnir,abonnis,abonnis,abonnit,abonnissons,abonnissez,abonnissent,abonnissais,abonnissais,abonnissait,abonnissions,abonnissiez,abonnissaient,abonnirai,abonniras,abonnira,abonnirons,abonnirez,abonniront,abonnirais,abonnirais,abonnirait,abonnirions,abonniriez,abonniraient,abonnisse,abonnisses,abonnisse,abonnissions,abonnissiez,abonnissent,abonnis,abonnis,abonnit,abonnîmes,abonnîtes,abonnirent,abonnisse,abonnisses,abonnît,abonnissions,abonnissiez,abonnissent,abonnis,abonnissons,abonnissez
aborder,aborder,aborde,abordes,aborde,abordons,abordez,abordent,abordais,abordais,abordait,abordions,abordiez,abordaient,aborderai,aborderas,abordera,aborderons,aborderez,aborderont,aborderais,aborderais,aborderait,aborderions,aborderiez,aborderaient,aborde,abordes,aborde,abordions,abordiez,abordent,abordai,abordas,aborda,abordâmes,abordâtes,abordèrent,abordasse,abordasses,abordât,abordassions,abordassiez,abordassent,aborde,abordons,abordez
aboucher,aboucher,abouche,abouches,abouche,abouchons,abouchez,abouchent,abouchais,abouchais,abouchait,abouchions,abouchiez,abouchaient,aboucherai,aboucheras,abouchera,aboucherons,aboucherez,aboucheront,aboucherais,aboucherais,aboucherait,aboucherions,aboucheriez,aboucheraient,abouche,abouches,abouche,abouchions,abouchiez,abouchent,abouchai,abouchas,aboucha,abouchâmes,abouchâtes,abouchèrent,abouchasse,abouchasses,abouchât,abouchassions,abouchassiez,abouchassent,abouche,abouchons,abouchez
abouler,abouler,aboule,aboules,aboule,aboulons,aboulez,aboulent,aboulais,aboulais,aboulait,aboulions,abouliez,aboulaient,aboulerai,abouleras,aboulera,aboulerons,aboulerez,abouleront,aboulerais,aboulerais,aboulerait,aboulerions,abouleriez,abouleraient,aboule,aboules,aboule,aboulions,abouliez,aboulent,aboulai,aboulas,aboula,aboulâmes,aboulâtes,aboulèrent,aboulasse,aboulasses,aboulât,aboulassions,aboulassiez,aboulassent,aboule,aboulons,aboulez
aboutir,aboutir,aboutis,aboutis,aboutit,aboutissons,aboutissez,aboutissent,aboutissais,aboutissais,aboutissait,aboutissions,aboutissiez,aboutissaient,aboutirai,aboutiras,aboutira,aboutirons,aboutirez,aboutiront,aboutirais,aboutirais,aboutirait,aboutirions,aboutiriez,aboutiraient,aboutisse,aboutisses,aboutisse,aboutissions,aboutissiez,aboutissent,aboutis,aboutis,aboutit,aboutîmes,aboutîtes,aboutirent,aboutisse,aboutisses,aboutît,aboutissions,aboutissiez,aboutissent,aboutis,aboutissons,aboutissez
aboyer,aboyer,aboie,aboies,aboie,aboyons,aboyez,aboient,aboyais,aboyais,aboyait,aboyions,aboyiez,aboyaient,aboierai,aboieras,aboiera,aboierons,aboierez,aboieront,aboierais,aboierais,aboierait,aboierions,aboieriez,aboieraient,aboie,aboies,aboie,aboyions,aboyiez,aboient,aboyai,aboyas,aboya,aboyâmes,aboyâtes,aboyèrent,aboyasse,aboyasses,aboyât,aboyassions,aboyassiez,aboyassent,aboie,aboyons,aboyez
abréger,abréger,abrège,abrèges,abrège,abrégeons,abrégez,abrègent,abrégeais,abrégeais,abrégeait,abrégions,abrégiez,abrégeaient,abrégerai,abrégeras,abrégera,abrégerons,abrégerez,abrégeront,abrégerais,abrégerais,abrégerait,abrégerions,abrégeriez,abrégeraient,abrège,abrèges,abrège,abrégions,abrégiez,abrègent,abrégeai,abrégeas,abrégea,abrégeâmes,abrégeâtes,abrégèrent,abrégeasse,abrégeasses,abrégeât,abrégeassions,abrégeassiez,abrégeassent,abrège,abrégeons,abrégez
abreuver,abreuver,abreuve,abreuves,abreuve,abreuvons,abreuvez,abreuvent,abreuvais,abreuvais,abreuvait,abreuvions,abreuviez,abreuvaient,abreuverai,abreuveras,abreuvera,abreuverons,abreuverez,abreuveront,abreuverais,abreuverais,abreuverait,abreuverions,abreuveriez,abreuveraient,abreuve,abreuves,abreuve,abreuvions,abreuviez,abreuvent,abreuvai,abreuvas,abreuva,abreuvâmes,abreuvâtes,abreuvèrent,abreuvasse,abreuvasses,abreuvât,abreuvassions,abreuvassiez,abreuvassent,abreuve,abreuvons,abreuvez
abriter,abriter,abrite,abrites,abrite,abritons,abritez,abritent,abritais,abritais,abritait,abritions,abritiez,abritaient,abriterai,abriteras,abritera,abriterons,abriterez,abriteront,abriterais,abriterais,abriterait,abriterions,abriteriez,abriteraient,abrite,abrites,abrite,abritions,abritiez,abritent,abritai,abritas,abrita,abritâmes,abritâtes,abritèrent,abritasse,abritasses,abritât,abritassions,abritassiez,abritassent,abrite,abritons,abritez
abroger,abroger,abroge,abroges,abroge,abrogeons,abrogez,abrogent,abrogeais,abrogeais,abrogeait,abrogions,abrogiez,abrogeaient,abrogerai,abrogeras,abrogera,abrogerons,abrogerez,abrogeront,abrogerais,abrogerais,abrogerait,abrogerions,abrogeriez,abrogeraient,abroge,abroges,abroge,abrogions,abrogiez,abrogent,abrogeai,abrogeas,abrogea,abrogeâmes,abrogeâtes,abrogèrent,abrogeasse,abrogeasses,abrogeât,abrogeassions,abrogeassiez,abrogeassent,abroge,abrogeons,abrogez
abrutir,abrutir,abrutis,abrutis,abrutit,abrutissons,abrutissez,abrutissent,abrutissais,abrutissais,abrutissait,abrutissions,abrutissiez,abrutissaient,abrutirai,abrutiras,abrutira,abrutirons,abrutirez,abrutiront,abrutirais,abrutirais,abrutirait,abrutirions,abrutiriez,abrutiraient,abrutisse,abrutisses,abrutisse,abrutissions,abrutissiez,abrutissent,abrutis,abrutis,abrutit,abrutîmes,abrutîtes,abrutirent,abrutisse,abrutisses,abrutît,abrutissions,abrutissiez,abrutissent,abrutis,abrutissons,abrutissez
absenter,absenter,absente,absentes,absente,absentons,absentez,absentent,absentais,absentais,absentait,absentions,absentiez,absentaient,absenterai,absenteras,absentera,absenterons,absenterez,absenteront,absenterais,absenterais,absenterait,absenterions,absenteriez,absenteraient,absente,absentes,absente,absentions,absentiez,absentent,absentai,absentas,absenta,absentâmes,absentâtes,absentèrent,absentasse,absentasses,absentât,absentassions,absentassiez,absentassent,absente,absentons,absentez
absorber,absorber,absorbe,absorbes,absorbe,absorbons,absorbez,absorbent,absorbais,absorbais,absorbait,absorbions,absorbiez,absorbaient,absorberai,absorberas,absorbera,absorberons,absorberez,absorberont,absorberais,absorberais,absorberait,absorberions,absorberiez,absorberaient,absorbe,absorbes,absorbe,absorbions,absorbiez,absorbent,absorbai,absorbas,absorba,absorbâmes,absorbâtes,absorbèrent,absorbasse,absorbasses,absorbât,absorbassions,absorbassiez,absorbassent,absorbe,absorbons,absorbez
absoudre,absoudre,absous,absous,absout,absolvons,absolvez,absolvent,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient,absoudrai,absoudras,absoudra,absoudrons,absoudrez,absoudront,absoudrais,absoudrais,absoudrait,absoudrions,absoudriez,absoudraient,absolve,absolves,absolve,absolvions,absolviez,absolvent,absolus,absolus,absolut,absolûmes,absolûtes,absolurent,absolusse,absolusses,absolût,absolussions,absolussiez,absolussent,absous,absolvons,absolvez
abstenir,abstenir,abstiens,abstiens,abstient,abstenons,abstenez,abstiennent,abstenais,abstenais,abstenait,abstenions,absteniez,abstenaient,abstiendrai,abstiendras,abstiendra,abstiendrons,abstiendrez,abstiendront,abstiendrais,abstiendrais,abstiendrait,abstiendrions,abstiendriez,abstiendraient,abstienne,abstiennes,abstienne,abstenions,absteniez,abstiennent,abstins,abstins,abstint,abstînmes,abstîntes,abstinrent,abstinsse,abstinsses,abstînt,abstinssions,abstinssiez,abstinssent,abstiens,abstenons,abstenez
abstraire,abstraire,abstrais,abstrais,abstrait,abstrayons,abstrayez,abstraient,abstrayais,abstrayais,abstrayait,abstrayions,abstrayiez,abstrayaient,abstrairai,abstrairas,abstraira,abstrairons,abstrairez,abstrairont,abstrairais,abstrairais,abstrairait,abstrairions,abstrairiez,abstrairaient,abstraie,abstraies,abstraie,abstrayions,abstrayiez,abstraient,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,abstrais,abstrayons,abstrayez
abuser,abuser,abuse,abuses,abuse,abusons,abusez,abusent,abusais,abusais,abusait,abusions,abusiez,abusaient,abuserai,abuseras,abusera,abuserons,abuserez,abuseront,abuserais,abuserais,abuserait,abuserions,abuseriez,abuseraient,abuse,abuses,abuse,abusions,abusiez,abusent,abusai,abusas,abusa,abusâmes,abusâtes,abusèrent,abusasse,abusasses,abusât,abusassions,abusassiez,abusassent,abuse,abusons,abusez
acagnarder,acagnarder,acagnarde,acagnardes,acagnarde,acagnardons,acagnardez,acagnardent,acagnardais,acagnardais,acagnardait,acagnardions,acagnardiez,acagnardaient,acagnarderai,acagnarderas,acagnardera,acagnarderons,acagnarderez,acagnarderont,acagnarderais,acagnarderais,acagnarderait,acagnarderions,acagnarderiez,acagnarderaient,acagnarde,acagnardes,acagnarde,acagnardions,acagnardiez,acagnardent,acagnardai,acagnardas,acagnarda,acagnardâmes,acagnardâtes,acagnardèrent,acagnardasse,acagnardasses,acagnardât,acagnardassions,acagnardassiez,acagnardassent,acagnarde,acagnardons,acagnardez
accabler,accabler,accable,accables,accable,accablons,accablez,accablent,accablais,accablais,accablait,accablions,accabliez,accablaient,accablerai,accableras,accablera,accablerons,accablerez,accableront,accablerais,accablerais,accablerait,accablerions,accableriez,accableraient,accable,accables,accable,accablions,accabliez,accablent,accablai,accablas,accabla,accablâmes,accablâtes,accablèrent,accablasse,accablasses,accablât,accablassions,accablassiez,accablassent,accable,accablons,accablez
accaparer,accaparer,accapare,accapares,accapare,accaparons,accaparez,accaparent,accaparais,accaparais,accaparait,accaparions,accapariez,accaparaient,accaparerai,accapareras,accaparera,accaparerons,accaparerez,accapareront,accaparerais,accaparerais,accaparerait,accaparerions,accapareriez,accapareraient,accapare,accapares,accapare,accaparions,accapariez,accaparent,accaparai,accaparas,accapara,accaparâmes,accaparâtes,accaparèrent,accaparasse,accaparasses,accaparât,accaparassions,accaparassiez,accaparassent,accapare,accaparons,accaparez
accéder,accéder,accède,accèdes,accède,accédons,accédez,accèdent,accédais,accédais,accédait,accédions,accédiez,accédaient,accéderai,accéderas,accédera,accéderons,accéderez,accéderont,accéderais,accéderais,accéderait,accéderions,accéderiez,accéderaient,accède,accèdes,accède,accédions,accédiez,accèdent,accédai,accédas,accéda,accédâmes,accédâtes,accédèrent,accédasse,accédasses,accédât,accédassions,accédassiez,accédassent,accède,accédons,accédez
accélérer,accélérer,accélère,accélères,accélère,accélérons,accélérez,accélèrent,accélérais,accélérais,accélérait,accélérions,accélériez,accéléraient,accélérerai,accéléreras,accélérera,accélérerons,accélérerez,accéléreront,accélérerais,accélérerais,accélérerait,accélérerions,accéléreriez,accéléreraient,accélère,accélères,accélère,accélérions,accélériez,accélèrent,accélérai,accéléras,accéléra,accélérâmes,accélérâtes,accélérèrent,accélérasse,accélérasses,accélérât,accélérassions,accélérassiez,accélérassent,accélère,accélérons,accélérez
accentuer,accentuer,accentue,accentues,accentue,accentuons,accentuez,accentuent,accentuais,accentuais,accentuait,accentuions,accentuiez,accentuaient,accentuerai,accentueras,accentuera,accentuerons,accentuerez,accentueront,accentuerais,accentuerais,accentuerait,accentuerions,accentueriez,accentueraient,accentue,accentues,accentue,accentuions,accentuiez,accentuent,accentuai,accentuas,accentua,accentuâmes,accentuâtes,accentuèrent,accentuasse,accentuasses,accentuât,accentuassions,accentuassiez,accentuassent,accentue,accentuons,accentuez
accepter,accepter,accepte,acceptes,accepte,acceptons,acceptez,acceptent,acceptais,acceptais,acceptait,acceptions,acceptiez,acceptaient,accepterai,accepteras,acceptera,accepterons,accepterez,accepteront,accepterais,accepterais,accepterait,accepterions,accepteriez,accepteraient,accepte,acceptes,accepte,acceptions,acceptiez,acceptent,acceptai,acceptas,accepta,acceptâmes,acceptâtes,acceptèrent,acceptasse,acceptasses,acceptât,acceptassions,acceptassiez,acceptassent,accepte,acceptons,acceptez
accessoiriser,accessoiriser,accessoirise,accessoirises,accessoirise,accessoirisons,accessoirisez,accessoirisent,accessoirisais,accessoirisais,accessoirisait,accessoirisions,accessoirisiez,accessoirisaient,accessoiriserai,accessoiriseras,accessoirisera,accessoiriserons,accessoiriserez,accessoiriseront,accessoiriserais,accessoiriserais,accessoiriserait,accessoiriserions,accessoiriseriez,accessoiriseraient,accessoirise,accessoirises,accessoirise,accessoirisions,accessoirisiez,accessoirisent,accessoirisai,accessoirisas,accessoirisa,accessoirisâmes,accessoirisâtes,accessoirisèrent,accessoirisasse,accessoirisasses,accessoirisât,accessoirisassions,accessoirisassiez,accessoirisassent,accessoirise,accessoirisons,accessoirisez
accidenter,accidenter,accidente,accidentes,accidente,accidentons,accidentez,accidentent,accidentais,accidentais,accidentait,accidentions,accidentiez,accidentaient,accidenterai,accidenteras,accidentera,accidenterons,accidenterez,accidenteront,accidenterais,accidenterais,accidenterait,accidenterions,accidenteriez,accidenteraient,accidente,accidentes,accidente,accidentions,accidentiez,accidentent,accidentai,accidentas,accidenta,accidentâmes,accidentâtes,accidentèrent,accidentasse,accidentasses,accidentât,accidentassions,accidentassiez,accidentassent,accidente,accidentons,accidentez
acclamer,acclamer,acclame,acclames,acclame,acclamons,acclamez,acclament,acclamais,acclamais,acclamait,acclamions,acclamiez,acclamaient,acclamerai,acclameras,acclamera,acclamerons,acclamerez,acclameront,acclamerais,acclamerais,acclamerait,acclamerions,acclameriez,acclameraient,acclame,acclames,acclame,acclamions,acclamiez,acclament,acclamai,acclamas,acclama,acclamâmes,acclamâtes,acclamèrent,acclamasse,acclamasses,acclamât,acclamassions,acclamassiez,acclamassent,acclame,acclamons,acclamez
acclimater,acclimater,acclimate,acclimates,acclimate,acclimatons,acclimatez,acclimatent,acclimatais,acclimatais,acclimatait,acclimations,acclimatiez,acclimataient,acclimaterai,acclimateras,acclimatera,acclimaterons,acclimaterez,acclimateront,acclimaterais,acclimaterais,acclimaterait,acclimaterions,acclimateriez,acclimateraient,acclimate,acclimates,acclimate,acclimations,acclimatiez,acclimatent,acclimatai,acclimatas,acclimata,acclimatâmes,acclimatâtes,acclimatèrent,acclimatasse,acclimatasses,acclimatât,acclimatassions,acclimatassiez,acclimatassent,acclimate,acclimatons,acclimatez
accoler,accoler,accole,accoles,accole,accolons,accolez,accolent,accolais,accolais,accolait,accolions,accoliez,accolaient,accolerai,accoleras,accolera,accolerons,accolerez,accoleront,accolerais,accolerais,accolerait,accolerions,accoleriez,accoleraient,accole,accoles,accole,accolions,accoliez,accolent,accolai,accolas,accola,accolâmes,accolâtes,accolèrent,accolasse,accolasses,accolât,accolassions,accolassiez,accolassent,accole,accolons,accolez
accommoder,accommoder,accommode,accommodes,accommode,accommodons,accommodez,accommodent,accommodais,accommodais,accommodait,accommodions,accommodiez,accommodaient,accommoderai,accommoderas,accommodera,accommoderons,accommoderez,accommoderont,accommoderais,accommoderais,accommoderait,accommoderions,accommoderiez,accommoderaient,accommode,accommodes,accommode,accommodions,accommodiez,accommodent,accommodai,accommodas,accommoda,accommodâmes,accommodâtes,accommodèrent,accommodasse,accommodasses,accommodât,accommodassions,accommodassiez,accommodassent,accommode,accommodons,accommodez
accompagner,accompagner,accompagne,accompagnes,accompagne,accompagnons,accompagnez,accompagnent,accompagnais,accompagnais,accompagnait,accompagnions,accompagniez,accompagnaient,accompagnerai,accompagneras,accompagnera,accompagnerons,accompagnerez,accompagneront,accompagnerais,accompagnerais,accompagnerait,accompagnerions,accompagneriez,accompagneraient,accompagne,accompagnes,accompagne,accompagnions,accompagniez,accompagnent,accompagnai,accompagnas,accompagna,accompagnâmes,accompagnâtes,accompagnèrent,accompagnasse,accompagnasses,accompagnât,accompagnassions,accompagnassiez,accompagnassent,accompagne,accompagnons,accompagnez
accomplir,accomplir,accomplis,accomplis,accomplit,accomplissons,accomplissez,accomplissent,accomplissais,accomplissais,accomplissait,accomplissions,accomplissiez,accomplissaient,accomplirai,accompliras,accomplira,accomplirons,accomplirez,accompliront,accomplirais,accomplirais,accomplirait,accomplirions,accompliriez,accompliraient,accomplisse,accomplisses,accomplisse,accomplissions,accomplissiez,accomplissent,accomplis,accomplis,accomplit,accomplîmes,accomplîtes,accomplirent,accomplisse,accomplisses,accomplît,accomplissions,accomplissiez,accomplissent,accomplis,accomplissons,accomplissez
accorder,accorder,accorde,accordes,accorde,accordons,accordez,accordent,accordais,accordais,accordait,accordions,accordiez,accordaient,accorderai,accorderas,accordera,accorderons,accorderez,accorderont,accorderais,accorderais,accorderait,accorderions,accorderiez,accorderaient,accorde,accordes,accorde,accordions,accordiez,accordent,accordai,accordas,accorda,accordâmes,accordâtes,accordèrent,accordasse,accordasses,accordât,accordassions,accordassiez,accordassent,accorde,accordons,accordez
accoster,accoster,accoste,accostes,accoste,accostons,accostez,accostent,accostais,accostais,accostait,accostions,accostiez,accostaient,accosterai,accosteras,accostera,accosterons,accosterez,accosteront,accosterais,accosterais,accosterait,accosterions,accosteriez,accosteraient,accoste,accostes,accoste,accostions,accostiez,accostent,accostai,accostas,accosta,accostâmes,accostâtes,accostèrent,accostasse,accostasses,accostât,accostassions,accostassiez,accostassent,accoste,accostons,accostez
accoter,accoter,accote,accotes,accote,accotons,accotez,accotent,accotais,accotais,accotait,accotions,accotiez,accotaient,accoterai,accoteras,accotera,accoterons,accoterez,accoteront,accoterais,accoterais,accoterait,accoterions,accoteriez,accoteraient,accote,accotes,accote,accotions,accotiez,accotent,accotai,accotas,accota,accotâmes,accotâtes,accotèrent,accotasse,accotasses,accotât,accotassions,accotassiez,accotassent,accote,accotons,accotez
accoucher,accoucher,accouche,accouches,accouche,accouchons,accouchez,accouchent,accouchais,accouchais,accouchait,accouchions,accouchiez,accouchaient,accoucherai,accoucheras,accouchera,accoucherons,accoucherez,accoucheront,accoucherais,accoucherais,accoucherait,accoucherions,accoucheriez,accoucheraient,accouche,accouches,accouche,accouchions,accouchiez,accouchent,accouchai,accouchas,accoucha,accouchâmes,accouchâtes,accouchèrent,accouchasse,accouchasses,accouchât,accouchassions,accouchassiez,accouchassent,accouche,accouchons,accouchez
accouder,accouder,accoude,accoudes,accoude,accoudons,accoudez,accoudent,accoudais,accoudais,accoudait,accoudions,accoudiez,accoudaient,accouderai,accouderas,accoudera,accouderons,accouderez,accouderont,accouderais,accouderais,accouderait,accouderions,accouderiez,accouderaient,accoude,accoudes,accoude,accoudions,accoudiez,accoudent,accoudai,accoudas,accouda,accoudâmes,accoudâtes,accoudèrent,accoudasse,accoudasses,accoudât,accoudassions,accoudassiez,accoudassent,accoude,accoudons,accoudez
accoupler,accoupler,accouple,accouples,accouple,accouplons,accouplez,accouplent,accouplais,accouplais,accouplait,accouplions,accoupliez,accouplaient,accouplerai,accoupleras,accouplera,accouplerons,accouplerez,accoupleront,accouplerais,accouplerais,accouplerait,accouplerions,accoupleriez,accoupleraient,accouple,accouples,accouple,accouplions,accoupliez,accouplent,accouplai,accouplas,accoupla,accouplâmes,accouplâtes,accouplèrent,accouplasse,accouplasses,accouplât,accouplassions,accouplassiez,accouplassent,accouple,accouplons,accouplez
accourcir,accourcir,accourcis,accourcis,accourcit,accourcissons,accourcissez,accourcissent,accourcissais,accourcissais,accourcissait,accourcissions,accourcissiez,accourcissaient,accourcirai,accourciras,accourcira,accourcirons,accourcirez,accourciront,accourcirais,accourcirais,accourcirait,accourcirions,accourciriez,accourciraient,accourcisse,accourcisses,accourcisse,accourcissions,accourcissiez,accourcissent,accourcis,accourcis,accourcit,accourcîmes,accourcîtes,accourcirent,accourcisse,accourcisses,accourcît,accourcissions,accourcissiez,accourcissent,accourcis,accourcissons,accourcissez
