lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl
transporter,transporter,transporte,transportes,transporte,transportons,transportez,transportent,transportais,transportais,transportait,transportions,transportiez,transportaient,transporterai,transporteras,transportera,transporterons,transporterez,transporteront,transporterais,transporterais,transporterait,transporterions,transporteriez,transporteraient,transporte,transportes,transporte,transportions,transportiez,transportent,transportai,transportas,transporta,transportâmes,transportâtes,transportèrent,transportasse,transportasses,transportât,transportassions,transportassiez,transportassent,transporte,transportons,transportez
transposer,transposer,transpose,transposes,transpose,transposons,transposez,transposent,transposais,transposais,transposait,transposions,transposiez,transposaient,transposerai,transposeras,transposera,transposerons,transposerez,transposeront,transposerais,transposerais,transposerait,transposerions,transposeriez,transposeraient,transpose,transposes,transpose,transposions,transposiez,transposent,transposai,transposas,transposa,transposâmes,transposâtes,transposèrent,transposasse,transposasses,transposât,transposassions,transposassiez,transposassent,transpose,transposons,transposez
transvaser,transvaser,transvase,transvases,transvase,transvasons,transvasez,transvasent,transvasais,transvasais,transvasait,transvasions,transvasiez,transvasaient,transvaserai,transvaseras,transvasera,transvaserons,transvaserez,transvaseront,transvaserais,transvaserais,transvaserait,transvaserions,transvaseriez,transvaseraient,transvase,transvases,transvase,transvasions,transvasiez,transvasent,transvasai,transvasas,transvasa,transvasâmes,transvasâtes,transvasèrent,transvasasse,transvasasses,transvasât,transvasassions,transvasassiez,transvasassent,transvase,transvasons,transvasez
traquer,traquer,traque,traques,traque,traquons,traquez,traquent,traquais,traquais,traquait,traquions,traquiez,traquaient,traquerai,traqueras,traquera,traquerons,traquerez,traqueront,traquerais,traquerais,traquerait,traquerions,traqueriez,traqueraient,traque,traques,traque,traquions,traquiez,traquent,traquai,traquas,traqua,traquâmes,traquâtes,traquèrent,traquasse,traquasses,traquât,traquassions,traquassiez,traquassent,traque,traquons,traquez
traumatiser,traumatiser,traumatise,traumatises,traumatise,traumatisons,traumatisez,traumatisent,traumatisais,traumatisais,traumatisait,traumatisions,traumatisiez,traumatisaient,traumatiserai,traumatiseras,traumatisera,traumatiserons,traumatiserez,traumatiseront,traumatiserais,traumatiserais,traumatiserait,traumatiserions,traumatiseriez,traumatiseraient,traumatise,traumatises,traumatise,traumatisions,traumatisiez,traumatisent,traumatisai,traumatisas,traumatisa,traumatisâmes,traumatisâtes,traumatisèrent,traumatisasse,traumatisasses,traumatisât,traumatisassions,traumatisassiez,traumatisassent,traumatise,traumatisons,traumatisez
travailler,travailler,travaille,travailles,travaille,travaillons,travaillez,travaillent,travaillais,travaillais,travaillait,travaillions,travailliez,travaillaient,travaillerai,travailleras,travaillera,travaillerons,travaillerez,travailleront,travaillerais,travaillerais,travaillerait,travaillerions,travailleriez,travailleraient,travaille,travailles,travaille,travaillions,travailliez,travaillent,travaillai,travaillas,travailla,travaillâmes,travaillâtes,travaillèrent,travaillasse,travaillasses,travaillât,travaillassions,travaillassiez,travaillassent,travaille,travaillons,travaillez
traverser,traverser,traverse,traverses,traverse,traversons,traversez,traversent,traversais,traversais,traversait,traversions,traversiez,traversaient,traverserai,traverseras,traversera,traverserons,traverserez,traverseront,traverserais,traverserais,traverserait,traverserions,traverseriez,traverseraient,traverse,traverses,traverse,traversions,traversiez,traversent,traversai,traversas,traversa,traversâmes,traversâtes,traversèrent,traversasse,traversasses,traversât,traversassions,traversassiez,traversassent,traverse,traversons,traversez
travestir,travestir,travestis,travestis,travestit,travestissons,travestissez,travestissent,travestissais,travestissais,travestissait,travestissions,travestissiez,travestissaient,travestirai,travestiras,travestira,travestirons,travestirez,travestiront,travestirais,travestirais,travestirait,travestirions,travestiriez,travestiraient,travestisse,travestisses,travestisse,travestissions,travestissiez,travestissent,travestis,travestis,travestit,travestîmes,travestîtes,travestirent,travestisse,travestisses,travestît,travestissions,travestissiez,travestissent,travestis,travestissons,travestissez
trébucher,trébucher,trébuche,trébuches,trébuche,trébuchons,trébuchez,trébuchent,trébuchais,trébuchais,trébuchait,trébuchions,trébuchiez,trébuchaient,trébucherai,trébucheras,trébuchera,trébucherons,trébucherez,trébucheront,trébucherais,trébucherais,trébucherait,trébucherions,trébucheriez,trébucheraient,trébuche,trébuches,trébuche,trébuchions,trébuchiez,trébuchent,trébuchai,trébuchas,trébucha,trébuchâmes,trébuchâtes,trébuchèrent,trébuchasse,trébuchasses,trébuchât,trébuchassions,trébuchassiez,trébuchassent,trébuche,trébuchons,trébuchez
trembler,trembler,tremble,trembles,tremble,tremblons,tremblez,tremblent,tremblais,tremblais,tremblait,tremblions,trembliez,tremblaient,tremblerai,trembleras,tremblera,tremblerons,tremblerez,trembleront,tremblerais,tremblerais,tremblerait,tremblerions,trembleriez,trembleraient,tremble,trembles,tremble,tremblions,trembliez,tremblent,tremblai,tremblas,trembla,tremblâmes,tremblâtes,tremblèrent,tremblasse,tremblasses,tremblât,tremblassions,tremblassiez,tremblassent,tremble,tremblons,tremblez
