"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
45,"accompagner","#ak:akɔ:kɔ̃:ɔ̃p:̃pa:paɲ:aɲ#","akɔ̃paɲ",0,0.5768600355338951,true,false,false
45,"accompagner","#ak:akœ:kœj:œj#","akœj",0,0.4119952555575789,false,false,false
45,"accompagner","#ɛd:ɛd#","ɛd",0,0.29287441204957465,false,false,false
46,"accomplir","#ak:akɔ:kɔ̃:ɔ̃p:̃pl:pli:li#","akɔ̃pli",0,0.5298562640146035,true,false,false
46,"accomplir","#ak:akɔ:kɔ̃:ɔ̃p:̃pl:pli:lis:is#","akɔ̃plis",0,0.526857561387495,false,false,false
47,"accorder","#ak:akɔ:kɔʁ:ɔʁd:ʁd#","akɔʁd",0,0.5208004153392992,true,false,false
47,"accorder","#al:alu:lu#","alu",0,0.47367267627246634,false,false,false
48,"accoster","#ak:akɔ:kɔs:ɔst:stE:tE#","akɔstE",0,0.6148633694650852,true,false,false
48,"accoster","#ak:akɔ:kɔs:ɔst:st#","akɔst",0,0.5482504129199886,false,false,false
48,"accoster","#af:afʁ:fʁɛ:ʁɛt:ɛt#","afʁɛt",0,0.5079544605770901,false,false,false
48,"accoster","#am:ama:maʁ:aʁ#","amaʁ",0,0.4366458488659772,false,false,false
49,"accoter",,,,,,,
50,"accoucher","#ak:aku:kuʃ:uʃ#","akuʃ",0,0.49817385506969963,true,false,false
50,"accoucher","#ak:aku:kuʃ:uʃE:ʃE#","akuʃE",0,0.39903504663017075,false,false,false
50,"accoucher","#al:alɛ:lɛt:ɛt#","alɛt",0,0.37053005598591826,false,false,false
51,"accouder",,,,,,,
52,"accoupler","#ak:aku:kup:upl:pl#","akupl",0,0.8370831154853213,true,false,false
53,"accourcir","#ac:acc:cco:cou:our:urc:rci:cir:ir#","accourcir",0,0.9999849468186146,true,true,false
53,"accourcir","#al:alɔ:lɔ̃:ɔ̃ʒ:̃ʒ#","alɔ̃ʒ",0,0.2813124507161114,false,false,false
53,"accourcir","#af:afy:fyʁ:yʁ#","afyʁ",0,0.22027830997577663,false,false,false
54,"accourir","#ak:aku:kuʁ:uʁ#","akuʁ",0,0.5263488663689034,true,false,false
54,"accourir","#af:afl:fly:ly#","afly",0,0.37895477203384903,false,false,false
55,"accoutumer",,,,,,,
56,"accréditer","#af:afi:fiʁ:iʁm:ʁm#","afiʁm",0,0.2825738582321807,true,false,false
57,"accrocher","#ak:akʁ:kʁɔ:ʁɔʃ:ɔʃ#","akʁɔʃ",0,0.7001449410028205,true,false,false
58,"accroire","#ac:acc:ccr:cro:roi:oir:ire:re#","accroire",0,0.9999895248845702,true,true,false
58,"accroire","#af:afi:fiʁ:iʁm:ʁm#","afiʁm",0,0.27562857791034073,false,false,false
59,"accroître","#al:alt:ltɛ:tɛʁ:ɛʁ#","altɛʁ",0,0.2481904130299568,true,false,false
59,"accroître","#am:ama:mas:as#","amas",0,0.21566895200214273,false,false,false
60,"accroupir",,,,,,,
61,"accueillir","#ak:akœ:kœj:œj#","akœj",0,0.5380733656468446,true,false,false
62,"acculer","#ak:aky:kyl:yl#","akyl",0,0.7085869212653175,true,false,false
63,"accumuler","#ak:aky:kym:ymy:myl:yl#","akymyl",0,0.5326426876594083,true,false,false
63,"accumuler","#al:alt:ltɛ:tɛʁ:ɛʁ#","altɛʁ",0,0.34721112130970283,false,false,false
64,"accuser","#ab:aby:byz:yz#","abyz",0,0.40681344194154484,true,false,false
65,"achaler","#aʃ:aʃa:ʃal:al#","aʃal",0,0.9895615638106569,true,false,false
65,"achaler","#aʃ:aʃa:ʃal:alə:ləʁ:əʁE:ʁE#","aʃaləʁE",0,0.9700438641770316,false,false,false
65,"achaler","#aʃ:aʃa:ʃal:alE:lE#","aʃalE",0,0.9652560430708189,false,false,false
65,"achaler","#aʃ:aʃa:ʃal:ala:la#","aʃala",0,0.9639363721605647,false,false,false
65,"achaler","#aʃ:aʃa:ʃal:ala:las:as#","aʃalas",0,0.9531228898204555,false,false,false
66,"acharner",,,,,,,
67,"acheminer","#aʃ:aʃə:ʃəm:əmi:min:in#","aʃəmin",0,0.5380855784672367,true,false,false
67,"acheminer","#af:afʁ:fʁɛ:ʁɛt:ɛt#","afʁɛt",0,0.477344872486639,false,false,false
67,"acheminer","#ak:akɔ:kɔs:ɔst:st#","akɔst",0,0.43596256929630556,false,false,false
68,"acheter","#aʃ:aʃɛ:ʃɛt:ɛt#","aʃɛt",0,0.5817276134787437,true,false,false
68,"acheter","#aʃ:aʃɛ:ʃɛt:ɛtə:təʁ:əʁE:ʁE#","aʃɛtəʁE",0,0.5080009842984622,false,false,false
68,"acheter","#aʃ:aʃɛ:ʃɛt:ɛtə:təʁ:əʁɔ:ʁɔ̃:ɔ̃#","aʃɛtəʁɔ̃",0,0.45842436355576494,false,false,false
69,"achever","#aʃ:aʃɛ:ʃɛv:ɛv#","aʃɛv",0,0.621753739548768,true,false,false
70,"achopper","#aʃ:aʃɔ:ʃɔp:ɔp#","aʃɔp",0,0.4794232322267477,true,false,false
71,"acoquiner","#ak:akO:kOk:Oki:kin:in#","akOkin",0,0.9371563057203803,true,false,false
72,"acquérir","#ac:acq:cqu:qué:uér:éri:rir:ir#","acquérir",0,0.9999964552671837,true,true,false
72,"acquérir","#ak:akj:kjɛ:jɛʁ:ɛʁ#","akjɛʁ",0,0.3756296687380798,false,false,false
72,"acquérir","#ak:akɔ:kɔʁ:ɔʁd:ʁd#","akɔʁd",0,0.15512812938320786,false,false,false
72,"acquérir","#ɛd:ɛd#","ɛd",0,0.055025668220337096,false,false,false
73,"acquiescer","#ak:akj:kjɛ:jɛs:ɛs#","akjɛs",0,0.39872083877280456,true,false,false
74,"acquitter","#ak:aki:kit:it#","akit",0,0.7101453278296664,true,false,false
75,"actionner","#ak:aks:ksj:sjO:jOn:OnE:nE#","aksjOnE",0,0.5589932059073751,true,false,false
75,"actionner","#ak:aks:ksj:sjɔ:jɔn:ɔn#","aksjɔn",0,0.5481944636288202,false,false,false
75,"actionner","#al:aly:lym:ym#","alym",0,0.33995158883470383,false,false,false
76,"activer","#ac:act:cti:tiv:ive:ver:er#","activer",0,0.9999732766272925,true,true,false
76,"activer","#ak:akt:kti:tiv:ive:ver:er#","aktiver",0,0.7981982472086302,false,false,true
76,"activer","#ac:act:cti:tiv:ivə:vəʁ:əʁE:ʁE#","activəʁE",0,0.5887530151415317,false,false,true
76,"activer","#af:afi:fiʃ:iʃ#","afiʃ",0,0.41116762491800507,false,false,false
76,"activer","#ak:akt:kti:tiv:ivə:vəʁ:əʁE:ʁE#","aktivəʁE",0,0.3440513187189034,false,false,false
76,"activer","#ab:abO:bOl:Oli:lis:is#","abOlis",0,0.32672860640796714,false,false,false
77,"actualiser","#ak:akt:ktɥ:tɥa:ɥal:ali:liz:iz#","aktɥaliz",0,0.37950346919294026,true,false,false
78,"adapter","#ad:ada:dap:apt:pte:ter:er#","adapter",0,0.9554230637587802,true,true,false
78,"adapter","#ad:ada:dap:apt:pt#","adapt",0,0.6735281791923834,false,false,false
79,"additionner","#ad:adi:dis:isj:sjɔ:jɔn:ɔn#","adisjɔn",0,0.5060925514822695,true,false,false
80,"adhérer","#ad:adɛ:dɛʁ:ɛʁə:ʁəʁ:əʁE:ʁE#","adɛʁəʁE",0,0.4269936274594401,true,false,false
80,"adhérer","#ad:adɛ:dɛʁ:ɛʁ#","adɛʁ",0,0.41703807697472695,false,false,false
81,"adjoindre",,,,,,,
82,"adjuger","#ad:adʒ:dʒy:ʒyʒ:yʒ#","adʒyʒ",0,0.819412137903354,true,false,false
83,"adjurer","#ad:adʒ:dʒy:ʒyʁ:yʁ#","adʒyʁ",0,0.738499654371074,true,false,false
83,"adjurer","#ab:abʒ:bʒy:ʒyʁ:yʁ#","abʒyʁ",0,0.6262537303557311,false,false,false
84,"admettre","#af:afi:fiʁ:iʁm:ʁm#","afiʁm",0,0.3454327792516753,true,false,false
84,"admettre","#aj:aj#","aj",0,0.31569682668922666,false,false,false
85,"administrer","#ad:adm:dmi:min:ini:nis:ist:stʁ:tʁ#","administʁ",0,0.45760621351397074,true,false,false
86,"admirer","#ad:adm:dmi:miʁ:iʁ#","admiʁ",0,0.43645862783919764,true,false,false
86,"admirer","#ak:akœ:kœj:œj#","akœj",0,0.3700348805260227,false,false,false
87,"admonester","#ad:adm:dmO:mOn:Onɛ:nɛs:ɛst:st#","admOnɛst",0,0.6991633143009321,true,false,false
88,"adonner","#ad:adɔ:dɔn:ɔn#","adɔn",0,0.8074839842952916,true,false,false
89,"adopter","#ad:adO:dOp:Opt:pte:ter:er#","adOpter",0,0.7547212434707464,true,false,true
89,"adopter","#ad:ada:dap:apt:pte:ter:er#","adapter",0,0.5063269098157436,false,false,false
89,"adopter","#ad:adO:dOp:Opt:pt#","adOpt",0,0.4330193602251683,false,false,false
89,"adopter","#ad:ada:dap:apt:pt#","adapt",0,0.27530399334730776,false,false,false
90,"adorer","#ad:adɔ:dɔʁ:ɔʁ#","adɔʁ",0,0.33092431531194305,true,false,false
90,"adorer","#ɛm:ɛm#","ɛm",0,0.3106880952637584,false,false,false
91,"adosser","#ad:adɔ:dɔs:ɔs#","adɔs",0,0.8051369903381316,true,false,false
92,"adouber","#ad:adu:dub:ub#","adub",0,0.5007060414318295,true,false,false
93,"adoucir","#ad:adu:dus:usi:si#","adusi",0,0.42671984228508414,true,false,false
94,"adresser","#ad:adʁ:dʁɛ:ʁɛs:ɛs#","adʁɛs",0,0.711710542893716,true,false,false
95,"aduler","#ad:ady:dyl:yl#","adyl",0,0.5816502695996368,true,false,false
95,"aduler","#ak:akl:kla:lam:am#","aklam",0,0.558639487667787,false,false,false
95,"aduler","#ad:adu:dub:ub#","adub",0,0.5402198949297448,false,false,false
95,"aduler","#ak:aky:kyl:yl#","akyl",0,0.4468801674026828,false,false,false
96,"advenir",,,,,,,
97,"aérer","#aɛ:aɛʁ:ɛʁ#","aɛʁ",0,0.6989149038295122,true,false,false
97,"aérer","#al:alk:lka:kal:ali:lin:ini:niz:iz#","alkaliniz",0,0.4461665489915554,false,false,false
98,"affabuler","#ab:aby:byz:yzə:zəʁ:əʁE:ʁE#","abyzəʁE",0,0.12585171720495966,true,false,false
99,"affadir",,,,,,,
100,"affaiblir",,,,,,,
101,"affairer",,,,,,,
102,"affaisser",,,,,,,
103,"affaler",,,,,,,
104,"affamer","#af:afa:fam:am#","afam",0,0.6600507757935115,true,false,false
104,"affamer","#ab:abE:bEt:Eti:ti#","abEti",0,0.4330000705233938,false,false,false
105,"affecter","#af:afɛ:fɛk:ɛkt:kt#","afɛkt",0,0.37310431264731175,true,false,false
106,"affectionner","#ag:agʁ:gʁE:ʁEm:Emɑ:mɑ̃:ɑ̃t:̃t#","agʁEmɑ̃t",0,0.45932595891737404,true,false,false
106,"affectionner","#af:afE:fEk:Eks:ksj:sjɔ:jɔn:ɔn#","afEksjɔn",0,0.446021310742416,false,false,false
106,"affectionner","#ag:agi:giʃ:iʃ#","agiʃ",0,0.3798446170366176,false,false,false
107,"affermir","#af:afɛ:fɛʁ:ɛʁm:ʁmi:mis:is#","afɛʁmis",0,0.6495851919574434,true,false,false
107,"affermir","#af:afɛ:fɛʁ:ɛʁm:ʁmi:mi#","afɛʁmi",0,0.6444817856764319,false,false,false
107,"affermir","#af:afE:fEb:Ebl:bli:lis:is#","afEblis",0,0.5430445875434867,false,false,false
108,"afficher","#af:afi:fiʃ:iʃ#","afiʃ",0,0.5941615151857794,true,false,false
108,"afficher","#ag:agʁ:gʁɛ:ʁɛʒ:ɛʒ#","agʁɛʒ",0,0.37801175564008865,false,false,false
109,"affiler",,,,,,,
110,"affilier","#af:afi:fil:ili:li#","afili",0,0.8040604571041298,true,false,false
110,"affilier","#ak:aki:kit:it#","akit",0,0.6170933085495042,false,false,false
110,"affilier","#ag:agʁ:gʁE:ʁE#","agʁE",0,0.35417791305705887,false,false,false
111,"affiner","#al:alt:ltɛ:tɛʁ:ɛʁ#","altɛʁ",0,0.24928097941300803,true,false,false
111,"affiner","#ɛd:ɛd#","ɛd",0,0.10553494350646696,false,false,false
112,"affirmer","#af:afi:fiʁ:iʁm:ʁm#","afiʁm",0,0.49132791718481106,true,false,false
112,"affirmer","#aj:aj#","aj",0,0.3012183541718177,false,false,false
113,"affleurer","#af:afl:flœ:lœʁ:œʁ#","aflœʁ",0,0.4873202097042726,true,false,false
113,"affleurer","#al:alt:ltɛ:tɛʁ:ɛʁ#","altɛʁ",0,0.1836961244540777,false,false,false
114,"affliger","#af:afl:fli:liʒ:iʒ#","afliʒ",0,0.7998681746482594,true,false,false
115,"affluer","#af:afl:fly:ly#","afly",0,0.43683955298149896,true,false,false
116,"affoler",,,,,,,
117,"affranchir","#af:afʁ:fʁɑ:ʁɑ̃:ɑ̃ʃ:̃ʃi:ʃi#","afʁɑ̃ʃi",0,0.53943710314682,true,false,false
118,"affréter","#af:afʁ:fʁɛ:ʁɛt:ɛt#","afʁɛt",0,0.7613621705975226,true,false,false
118,"affréter","#ak:akɔ:kɔs:ɔst:st#","akɔst",0,0.38701495226571914,false,false,false
118,"affréter","#am:ama:maʁ:aʁ#","amaʁ",0,0.3046574058946149,false,false,false
119,"affriander","#ɑ̃:ɑ̃b:̃bi:bis:isj:sjɔ:jɔn:ɔn#","ɑ̃bisjɔn",0,0.14589798762356304,true,false,false
120,"affrioler","#Eg:Egʁ:gʁi:ʁi#","Egʁi",0,0.29223137797876164,true,false,false
120,"affrioler","#ag:agi:giʃ:iʃ#","agiʃ",0,0.290507241389812,false,false,false
120,"affrioler","#aa:aan:an#","aan",0,0.1436422608067672,false,false,false
120,"affrioler","#ab:abu:but:uti:ti#","abuti",0,0.08209495715394352,false,false,false
120,"affrioler","#ab:abu:but:uti:tis:is#","abutis",0,-0.05916990654208617,false,false,false
120,"affrioler","#ɑ̃:ɑ̃b:̃bi:bis:isj:sjɔ:jɔ̃:ɔ̃#","ɑ̃bisjɔ̃",0,-0.06925622675176576,false,false,true
121,"affronter","#af:afʁ:fʁɔ:ʁɔ̃:ɔ̃t:̃t#","afʁɔ̃t",0,0.5318170194752014,true,false,false
122,"affubler","#af:afy:fyb:ybl:bl#","afybl",0,0.7462126341816319,true,false,false
122,"affubler","#ak:akɔ:kɔl:ɔl#","akɔl",0,0.5773845990249991,false,false,false
123,"affurer","#af:afi:fil:il#","afil",0,0.5494746235608723,true,false,false
123,"affurer","#am:ama:mas:as#","amas",0,0.5196803739782352,false,false,false
124,"affûter","#af:afy:fyt:yt#","afyt",0,0.6482354185425951,true,false,false
125,"agacer","#Eg:Egʁ:gʁi:ʁi#","Egʁi",0,0.4636308066547913,true,false,false
126,"agencer","#aʒ:aʒɑ:ʒɑ̃:ɑ̃s:̃s#","aʒɑ̃s",0,0.5816507642763051,true,false,false
127,"agenouiller","#aʒ:aʒə:ʒən:ənu:nuj:uj#","aʒənuj",0,0.9174516180966443,true,false,false
128,"agglomérer","#ag:agl:glO:lOm:Omɛ:mɛʁ:ɛʁ#","aglOmɛʁ",0,0.8180285516489583,true,false,false
128,"agglomérer","#aʒ:aʒɑ:ʒɑ̃:ɑ̃s:̃s#","aʒɑ̃s",0,0.4462665296658254,false,false,false
129,"agglutiner",,,,,,,
130,"aggraver","#ag:agʁ:gʁa:ʁav:av#","agʁav",0,0.6883084619685174,true,false,false
131,"agir","#aʒ:aʒi:ʒis:is#","aʒis",0,0.4282249530070822,true,false,false
131,"agir","#aʒ:aʒi:ʒi#","aʒi",0,0.2898790442431154,false,false,false
131,"agir","#al:alɛ:lɛʁ:ɛʁt:ʁt#","alɛʁt",0,0.16369105131874928,false,false,false
132,"agiter","#aʒ:aʒi:ʒit:it#","aʒit",0,0.7003182838929568,true,false,false
133,"agonir","#ag:agO:gOn:Oni:ni#","agOni",0,0.6576530122312222,true,false,false
134,"agoniser","#ag:agO:gOn:Oni:niz:iz#","agOniz",0,0.5045669161304319,true,false,false
135,"agrafer","#ag:agr:gra:raf:afe:fer:er#","agrafer",0,0.9999900899350009,true,true,false
135,"agrafer","#ag:agʁ:gʁa:ʁaf:afe:fer:er#","agʁafer",0,0.8661250067433529,false,false,true
135,"agrafer","#ag:agʁ:gʁa:ʁaf:af#","agʁaf",0,0.6986767576091092,false,false,false
135,"agrafer","#Eg:Egɥ:gɥi:ɥij:ij#","Egɥij",0,0.350632744099606,false,false,false
136,"agrandir",,,,,,,
137,"agréer","#ad:adʁ:dʁɛ:ʁɛs:ɛs#","adʁɛs",0,0.2783420342821069,true,false,false
137,"agréer","#ak:aki:kit:it#","akit",0,0.26412884842085127,false,false,false
137,"agréer","#ak:akj:kjɛ:jɛs:ɛs#","akjɛs",0,0.2570664825990333,false,false,false
138,"agréger","#ag:agʁ:gʁɛ:ʁɛʒ:ɛʒ#","agʁɛʒ",0,0.6828536324911654,true,false,false
139,"agrémenter","#ag:agʁ:gʁE:ʁEm:Emɑ:mɑ̃:ɑ̃t:̃t#","agʁEmɑ̃t",0,0.50223447613226,true,false,false
140,"agresser","#ag:agʁ:gʁɛ:ʁɛs:ɛs#","agʁɛs",0,0.48488928131188097,true,false,false
141,"agripper","#ag:agʁ:gʁi:ʁip:ip#","agʁip",0,0.8274678609327905,true,false,false
142,"aguerrir",,,,,,,
143,"aguicher","#ag:agi:giʃ:iʃ#","agiʃ",0,0.7342429193926499,true,false,false
143,"aguicher","#Eg:Egɥ:gɥi:ɥij:ijɔ:jɔl:ɔl#","Egɥijɔl",0,0.5309283209934952,false,false,true
143,"aguicher","#ak:aks:ksE:sEs:Esw:swa:waʁ:aʁi:ʁiz:iz#","aksEswaʁiz",0,0.5201086379575661,false,false,false
144,"ahaner","#ah:aha:han:ane:ner:er#","ahaner",0,0.9999941261573908,true,true,false
144,"ahaner","#aa:aan:an#","aan",0,0.4308919273705116,false,false,false
144,"ahaner","#ag:agO:gOn:Oni:ni#","agOni",0,0.3063911292863789,false,false,false
144,"ahaner","#ab:abu:but:uti:ti#","abuti",0,0.06312326491338643,false,false,false
145,"ahurir","#ah:ahu:hur:uri:rir:ir#","ahurir",0,0.9999881418632618,true,true,false
145,"ahurir","#ab:abE:bEt:Eti:ti#","abEti",0,0.4214624614184457,false,false,false
146,"aider","#ɛd:ɛd#","ɛd",0,0.48581979003950454,true,false,false
147,"aigrir",,,,,,,
148,"aiguiller","#Eg:Egɥ:gɥi:ɥij:ij#","Egɥij",0,0.4325212141701486,true,false,false
148,"aiguiller","#Eg:Egɥ:gɥi:ɥij:ijə:jəʁ:əʁa:ʁa#","Egɥijəʁa",0,0.4171218550526223,false,false,false
148,"aiguiller","#al:alɛ:lɛʁ:ɛʁt:ʁt#","alɛʁt",0,0.34160650522339936,false,false,false
149,"aiguillonner","#ɑ̃:ɑ̃b:̃bi:bis:isj:sjɔ:jɔn:ɔn#","ɑ̃bisjɔn",0,0.14123439271455254,true,false,false
150,"aiguiser","#af:afy:fyt:yt#","afyt",0,0.5367389306347978,true,false,false
150,"aiguiser","#Eg:Egi:giz:iz#","Egiz",0,0.5262906744493074,false,false,false
151,"ailler","#af:afy:fyʁ:yʁ#","afyʁ",0,0.2219058742463161,true,false,false
152,"aimanter","#Em:Emɑ:mɑ̃:ɑ̃t:̃t#","Emɑ̃t",0,0.5793625902649647,true,false,false
152,"aimanter","#ak:aks:ksj:sjɔ:jɔn:ɔn#","aksjɔn",0,0.46593735362556343,false,false,false
153,"aimer","#ɛm:ɛm#","ɛm",0,0.43045387505526883,true,false,false
153,"aimer","#ad:adɔ:dɔʁ:ɔʁ#","adɔʁ",0,0.333782890128968,false,false,false
153,"aimer","#ab:aby:byz:yz#","abyz",0,0.22349343702169533,false,false,false
154,"ajointer",,,,,,,
155,"ajourner","#aʒ:aʒu:ʒuʁ:uʁn:ʁn#","aʒuʁn",0,0.5002894993095923,true,false,false
155,"ajourner","#ak:aki:kit:it#","akit",0,0.29949501519124805,false,false,false
156,"ajouter","#aʒ:aʒu:ʒut:ut#","aʒut",0,0.4610376450690771,true,false,false
157,"ajuster","#ad:ada:dap:apt:pt#","adapt",0,0.5227587851990922,true,false,false
157,"ajuster","#aʒ:aʒy:ʒys:yst:st#","aʒyst",0,0.5221423598824774,false,false,false
158,"alanguir",,,,,,,
159,"alarmer",,,,,,,
