"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"abaisser","#ab:abɛ:bɛs:ɛs#","abɛs",0,0.5152880529733013,true,false,false
2,"abandonner",,,,,,,
3,"abasourdir",,,,,,,
4,"abâtardir",,,,,,,
5,"abattre",,,,,,,
6,"abdiquer","#ab:abd:bdi:dik:ik#","abdik",0,0.4929290400283382,true,false,false
6,"abdiquer","#af:afʁ:fʁɔ:ʁɔ̃:ɔ̃t:̃t#","afʁɔ̃t",0,0.13987184164588384,false,false,false
7,"abêtir","#ab:abE:bEt:Eti:ti#","abEti",0,0.6312439775784388,true,false,false
8,"abhorrer","#ab:abʒ:bʒy:ʒyʁ:yʁ#","abʒyʁ",0,0.5176233252545887,true,false,false
8,"abhorrer","#ab:abE:bEt:Eti:ti#","abEti",0,0.41331168177499,false,false,false
9,"abîmer","#ab:abi:bim:im#","abim",0,0.6987064893965899,true,false,false
10,"abjurer","#ab:abʒ:bʒy:ʒyʁ:yʁ#","abʒyʁ",0,0.570167134757591,true,false,false
11,"abolir","#ab:abO:bOl:Oli:lis:is#","abOlis",0,0.5005088372517916,true,false,false
11,"abolir","#ab:abO:bOl:Oli:li#","abOli",0,0.49626177549219974,false,false,false
12,"abominer","#ab:abo:bom:omi:min:ine:ner:er#","abominer",0,0.9999817949441763,true,true,false
12,"abominer","#ab:abʒ:bʒy:ʒyʁ:yʁ#","abʒyʁ",0,0.4051088495234171,false,false,false
12,"abominer","#ab:abO:bOn:Oni:ni#","abOni",0,0.15682214807260966,false,false,false
12,"abominer","#ad:adɔ:dɔʁ:ɔʁ#","adɔʁ",0,0.06789001280850131,false,false,false
13,"abonder","#ab:abɔ:bɔ̃:ɔ̃d:̃d#","abɔ̃d",0,0.2870839375131075,true,false,false
13,"abonder","#ab:abɑ:bɑ̃:ɑ̃d:̃d#","abɑ̃d",0,0.23510673230524753,false,false,true
14,"abonner","#ab:abɔ:bɔn:ɔn#","abɔn",0,0.7544913740795725,true,false,false
14,"abonner","#ab:abɔ:bɔn:ɔnə:nəʁ:əʁE:ʁE#","abɔnəʁE",0,0.7111821558683808,false,false,false
15,"abonnir","#al:alt:ltɛ:tɛʁ:ɛʁ#","altɛʁ",0,0.19368149112458344,true,false,false
16,"aborder","#ab:abɔ:bɔʁ:ɔʁd:ʁd#","abɔʁd",0,0.5125023288634752,true,false,false
17,"aboucher",,,,,,,
18,"abouler","#ab:abo:bou:oul:ule:ler:er#","abouler",0,0.9998787219501722,true,true,false
18,"abouler","#af:afi:fil:il#","afil",0,0.29555151115510436,false,false,false
18,"abouler","#af:afy:fyt:yt#","afyt",0,0.22059740835991112,false,false,false
18,"abouler","#ab:abw:bwa:wa#","abwa",0,0.1855153562108397,false,false,false
19,"aboutir","#ab:abu:but:uti:tis:is#","abutis",0,0.3512738667166526,true,false,false
19,"aboutir","#ab:abu:but:uti:ti#","abuti",0,0.2929692868367655,false,false,false
20,"aboyer","#ab:abw:bwa:wa#","abwa",0,0.669691351121781,true,false,false
20,"aboyer","#ab:abw:bwa:waj:ajE:jE#","abwajE",0,0.46404655848732684,false,false,false
20,"aboyer","#ad:adO:dOp:Opt:pt#","adOpt",0,0.03519454300347187,false,false,false
21,"abréger","#ab:abʁ:bʁɛ:ʁɛʒ:ɛʒ#","abʁɛʒ",0,0.3989043363648443,true,false,false
22,"abreuver","#ab:abʁ:bʁœ:ʁœv:œv#","abʁœv",0,0.7232132864902241,true,false,false
23,"abriter","#ab:abʁ:bʁi:ʁit:it#","abʁit",0,0.4811362327634157,true,false,false
23,"abriter","#ab:abʁ:bʁi:ʁit:itə:təʁ:əʁE:ʁE#","abʁitəʁE",0,0.4239969949485984,false,false,false
24,"abroger","#ab:abʁ:bʁɔ:ʁɔʒ:ɔʒ#","abʁɔʒ",0,0.5689663708073418,true,false,false
24,"abroger","#ab:abʁ:bʁɔ:ʁɔʒ:ɔʒə:ʒəʁ:əʁE:ʁE#","abʁɔʒəʁE",0,0.5167366834840553,false,false,false
24,"abroger","#ab:abʁ:bʁɔ:ʁɔʒ:ɔʒə:ʒəʁ:əʁɔ:ʁɔ̃:ɔ̃#","abʁɔʒəʁɔ̃",0,0.45945930372977456,false,false,false
24,"abroger","#aʒ:aʒu:ʒuʁ:uʁn:ʁn#","aʒuʁn",0,0.26575186668508205,false,false,false
24,"abroger","#aʃ:aʃa:ʃaʁ:aʁn:ʁn#","aʃaʁn",0,0.08615239633128978,false,false,false
25,"abrutir","#ab:abʁ:bʁy:ʁyt:yti:ti#","abʁyti",0,0.678470092936218,true,false,false
25,"abrutir","#ab:abʁ:bʁœ:ʁœv:œv#","abʁœv",0,0.6529292193062074,false,false,false
25,"abrutir","#ab:abE:bEt:Eti:ti#","abEti",0,0.5816450640258641,false,false,false
26,"absenter",,,,,,,
27,"absorber","#ap:aps:psɔ:sɔʁ:ɔʁb:ʁb#","apsɔʁb",0,0.47538656768713916,true,false,false
27,"absorber","#al:alk:lka:kal:ali:lin:ini:niz:iz#","alkaliniz",0,0.3512368135826416,false,false,false
28,"absoudre",,,,,,,
29,"abstenir","#ab:aby:byz:yz#","abyz",0,0.29087785863937143,true,false,false
30,"abstraire",,,,,,,
31,"abuser","#ab:aby:byz:yz#","abyz",0,0.2212651880274908,true,false,false
31,"abuser","#ag:aga:gas:as#","agas",0,0.0971468309665846,false,false,false
32,"acagnarder",,,,,,,
33,"accabler","#ak:aka:kab:abl:bl#","akabl",0,0.6465300405676216,true,false,false
34,"accaparer",,,,,,,
35,"accéder","#ak:aks:ksɛ:sɛd:ɛd#","aksɛd",0,0.48192738538253876,true,false,false
36,"accélérer","#ak:aks:ksE:sEl:Elɛ:lɛʁ:ɛʁ#","aksElɛʁ",0,0.4786287714756042,true,false,false
36,"accélérer","#ak:aks:ksE:sEl:Elɛ:lɛʁ:ɛʁə:ʁəʁ:əʁE:ʁE#","aksElɛʁəʁE",0,0.44658502749532886,false,false,false
37,"accentuer",,,,,,,
38,"accepter","#ak:aks:ksɛ:sɛp:ɛpt:pte:ter:er#","aksɛpter",0,0.6488231530235138,true,false,true
38,"accepter","#ak:aks:ksɛ:sɛp:ɛpt:pt#","aksɛpt",0,0.2938007642254122,false,false,false
38,"accepter","#ak:aky:kyz:yz#","akyz",0,0.15878770985919435,false,false,false
39,"accessoiriser","#ak:aks:ksE:sEs:Esw:swa:waʁ:aʁi:ʁiz:iz#","aksEswaʁiz",0,0.7332254473415244,true,false,false
39,"accessoiriser","#ag:agi:giʃ:iʃ#","agiʃ",0,0.41832767882277994,false,false,false
39,"accessoiriser","#af:afi:fiʃ:iʃ#","afiʃ",0,0.23189756036173031,false,false,false
40,"accidenter","#ac:acc:cci:cid:ide:den:ent:nte:ter:er#","accidenter",0,0.9999874058830182,true,true,false
40,"accidenter","#ag:agO:gOn:Oni:ni#","agOni",0,0.3041022238601947,false,false,false
40,"accidenter","#ag:agʁ:gʁE:ʁE#","agʁE",0,0.224230724231477,false,false,false
41,"acclamer","#ak:akl:kla:lam:am#","aklam",0,0.6536482722190787,true,false,false
42,"acclimater","#ak:akl:kli:lim:ima:mat:at#","aklimat",0,0.8020222308620957,true,false,false
43,"accoler","#af:afy:fyb:ybl:bl#","afybl",0,0.4427532953501387,true,false,false
43,"accoler","#ag:agʁ:gʁɛ:ʁɛs:ɛsə:səʁ:əʁE:ʁE#","agʁɛsəʁE",0,0.297609589204172,false,false,false
44,"accommoder","#ak:akO:kOm:Omɔ:mɔd:ɔd#","akOmɔd",0,0.7264347788243762,true,false,false
